i,코드,상품명,거래소,error
7,AACT_u.K,,,unknown error
18,AAT,아메리칸 애셋츠 트러스트,뉴욕 거래소,unknown error
85,ADAG.O,아다진 ADR,나스닥 증권거래소,unknown error
89,ADCT.K,ADC 테라퓨틱스,뉴욕 거래소,unknown error
132,AER,에어캡 홀딩스,뉴욕 거래소,unknown error
150,AFTX.O,,,unknown error
175,AGYS.O,어질리시스,나스닥 증권거래소,unknown error
180,AHRN.O,,,unknown error
190,AIN,앨버니 인터내셔널,뉴욕 거래소,unknown error
232,ALGM.O,알레그로 마이크로시스템즈,나스닥 증권거래소,unknown error
240,ALKDU.O,,,unknown error
257,ALPSu.V,,,unknown error
303,AMPG.O,앰플리테크 그룹,나스닥 증권거래소,unknown error
313,AMRS.O,아미리스,나스닥 증권거래소,unknown error
333,ANET.K,아리스타 네트웍스,뉴욕 거래소,unknown error
340,ANIX.O,애닉사 바이오사이언시스,나스닥 증권거래소,unknown error
347,ANZU.O,앤주 스페셜 애퀴지션 I,나스닥 증권거래소,unknown error
399,ARAGU.O,,,unknown error
447,ARVL.O,어라이벌,나스닥 증권거래소,unknown error
473,ASPG.O,,,unknown error
521,ATR,아프타그룹,뉴욕 거래소,unknown error
527,ATSG.O,에어 트랜스포트 서비스 그룹,나스닥 증권거래소,unknown error
540,AULT.K,울트 얼라이언스,아멕스 증권거래소,unknown error
552,AVAH.O,애비애나 헬스케어 홀딩스,나스닥 증권거래소,unknown error
638,BATRA.O,리버티 미디어 브레이브스 시리즈 A,나스닥 증권거래소,unknown error
646,BBDC4.SA,,,unknown error
655,BBU_u.TO,,,unknown error
659,BBY,베스트 바이,뉴욕 거래소,unknown error
664,BCC,보이시 캐스케이드,뉴욕 거래소,unknown error
681,BCX,BlackRock Resources And Commodities Strategy Trust,뉴욕 거래소,unknown error
689,BDX,벡톤 디킨슨 앤 코,뉴욕 거래소,unknown error
698,BEN,프랭클린 리소시스,뉴욕 거래소,unknown error
701,BEP_u.TO,,,unknown error
716,BFb,,,unknown error
726,BGXX.O,브라이트 그린,나스닥 증권거래소,unknown error
752,BIO,바이오래드 래보라토리스 Class A,뉴욕 거래소,unknown error
777,BKR.O,베이커 휴즈,나스닥 증권거래소,unknown error
842,BNTY.K,,,unknown error
857,BOWL.K,볼레로,뉴욕 거래소,unknown error
887,BRKa,,,unknown error
892,BROG.O,브루지 에너지,나스닥 증권거래소,unknown error
912,BSME.O,,,unknown error
977,BYSI.O,비욘드스프링,나스닥 증권거래소,unknown error
996,CAH,카디널 헬스,뉴욕 거래소,unknown error
1009,CAPL.K,CrossAmerica Partners Common Units,뉴욕 거래소,unknown error
1036,CBNK.O,캐피털 뱅코프,나스닥 증권거래소,unknown error
1056,CCF,체이스,아멕스 증권거래소,unknown error
1071,CCTG.O,,,unknown error
1081,CDLX.O,카들리틱스,나스닥 증권거래소,unknown error
1093,CEACU.O,,,unknown error
1172,CHX.O,챔피언엑스,나스닥 증권거래소,unknown error
1184,CING.O,싱귤레이트,나스닥 증권거래소,unknown error
1198,CKHL.O,,,unknown error
1218,CLLB.O,,,unknown error
1223,CLNN.O,클렌,나스닥 증권거래소,unknown error
1238,CLW,클린워터 페이퍼,뉴욕 거래소,unknown error
1247,CMCL.K,칼레도니아 마이닝,아멕스 증권거래소,unknown error
1267,CMS_pb,,,unknown error
1275,CNDB_u.K,,,unknown error
1296,CNTB.O,코넥트 바이오파마 홀딩스 ADR,나스닥 증권거래소,unknown error
1304,CNXN.O,PC 커넥션,나스닥 증권거래소,unknown error
1352,CPK,체사피크 유틸리티스,뉴욕 거래소,unknown error
1379,CRDb,,,unknown error
1419,CSPI.O,CSP,나스닥 증권거래소,unknown error
1431,CTAA.N^B21,,,unknown error
1444,CTNT.O,,,unknown error
1450,CTRN.O,시티 트렌즈,나스닥 증권거래소,unknown error
1498,CWENa.K,,,unknown error
1511,CYAN.O,사이아노테크,나스닥 증권거래소,unknown error
1586,DGC_u,,,unknown error
1605,DIIIU.O,,,unknown error
1610,DISA.O,디스럽티브 애퀴지션 I,나스닥 증권거래소,unknown error
1614,DJCO.O,데일리 저널,나스닥 증권거래소,unknown error
1640,DMYY_u.K,,,unknown error
1660,DOMO.O,도모,나스닥 증권거래소,unknown error
1677,DRFY.O,,,unknown error
1715,DV,더블베리파이 홀딩스,뉴욕 거래소,unknown error
1729,DY,다이콤 인더스트리스,뉴욕 거래소,unknown error
1812,ELA,,,unknown error
1817,ELET6.SA,,,unknown error
1820,ELGP.O,,,unknown error
1823,ELMD.K,일렉트로메드,아멕스 증권거래소,unknown error
1849,EMTX.O,,,unknown error
1851,ENB,엔브리지,뉴욕 거래소,unknown error
1874,ENVA.K,이노바 인터내셔널,뉴욕 거래소,unknown error
1892,EPMI.O,,,unknown error
1897,EPWK.O,,,unknown error
1902,EQIX.O,이퀴닉스,나스닥 증권거래소,unknown error
1925,ESEA.O,유로시스,나스닥 증권거래소,unknown error
1956,EUAV.BR,,,unknown error
1979,EVTC.K,에버테크,뉴욕 거래소,unknown error
1981,EVTS.O,,,unknown error
1987,EWTX.O,엣지와이즈 테라퓨틱스,나스닥 증권거래소,unknown error
1988,EXACU.O,,,unknown error
