i,이름, 코드, 거래소, koscom_day, naver_day
2,애질런트 테크놀로지스,A,뉴욕 거래소,20230430,20230430
3,알코아,AA,뉴욕 거래소,20230331,20230331
4,아레스 애퀴지션,AAC,뉴욕 거래소,20230331,20230331
5,ATA 크리에이티비티 글로벌 ADR,AACG.O,나스닥 증권거래소,20230331,20230331
6,아마다 애퀴지션 I,AACI.O,나스닥 증권거래소,20230331,20230331
8,아디 바이오사이언스,AADI.O,나스닥 증권거래소,20230331,20230331
9,알링턴 에셋 인베스트먼트,AAIC.K,뉴욕 거래소,20230331,20230331
10,아메리칸 에어라인스 그룹,AAL.O,나스닥 증권거래소,20230331,20230331
11,알티소스 에셋 매니지먼트,AAMC.K,아멕스 증권거래소,20230331,20230331
12,아틀란틱 아메리칸,AAME.O,나스닥 증권거래소,20220930,20220930
13,아론스 컴퍼니,AAN,뉴욕 거래소,20230331,20230331
14,어플라이드 옵토일렉트로닉스,AAOI.O,나스닥 증권거래소,20230331,20230331
15,에이에이온,AAON.O,나스닥 증권거래소,20230331,20230331
16,어드밴스 오토 파츠,AAP,뉴욕 거래소,20230422,20230422
17,애플,AAPL.O,나스닥 증권거래소,20230401,20230401
19,알마덴 미네랄스,AAU,아멕스 증권거래소,20230331,20230331
20,AllianceBernstein Holding Units,AB,뉴욕 거래소,20230331,20230331
21,애브비,ABBV.K,뉴욕 거래소,20230331,20230331
22,아메리소스버겐,ABC,뉴욕 거래소,20230331,20230331
23,아메리스 뱅코프,ABCB.O,나스닥 증권거래소,20230331,20230331
24,앱셀레라 바이오로직스,ABCL.O,나스닥 증권거래소,20230331,20230331
25,압캠 ADR,ABCM.O,나스닥 증권거래소,20221231,20221231
26,아베오나 테라퓨틱스,ABEO.O,나스닥 증권거래소,20230331,20230331
27,암베브 ADR,ABEV.K,뉴욕 거래소,20230331,20230331
28,애즈버리 오토모티브 그룹,ABG,뉴욕 거래소,20230331,20230331
29,ARCA 바이오파마,ABIO.O,나스닥 증권거래소,20230331,20230331
30,ABM 인더스트리즈,ABM,뉴욕 거래소,20230430,20230430
31,에어비앤비,ABNB.O,나스닥 증권거래소,20230331,20230331
32,애큐먼 파마슈티컬스,ABOS.O,나스닥 증권거래소,20230331,20230331
33,아버 리얼티 트러스트,ABR,뉴욕 거래소,20230331,20230331
34,앱사이,ABSI.O,나스닥 증권거래소,20230331,20230331
35,앱솔루트 소프트웨어,ABST.TO,나스닥 증권거래소,20230331,20230331
36,애보트 래보라토리,ABT,뉴욕 거래소,20230331,20230331
37,아버터스 바이오파마,ABUS.O,나스닥 증권거래소,20230331,20230331
38,ABVC 바이오파마,ABVC.O,나스닥 증권거래소,20230331,20230331
39,어소시에이티드 캐피털 그룹,AC,뉴욕 거래소,20230331,20230331
40,아코사,ACA,뉴욕 거래소,20230331,20230331
41,아틀란틱 코스탈 애퀴지션 II,ACAB.O,나스닥 증권거래소,20230331,20230331
42,아크리 캐피탈 애퀴지션,ACAC.O,나스닥 증권거래소,20230331,20230331
43,아카디아 파마슈티컬스,ACAD.O,나스닥 증권거래소,20230331,20230331
44,아틀란틱 코스탈 애퀴지션,ACAH.O,나스닥 증권거래소,20230331,20230331
45,아테나 컨슈머 애퀴지션,ACAQ.K,아멕스 증권거래소,20230331,20230331
46,알셋 캐피탈 애퀴지션,ACAX.O,나스닥 증권거래소,20230228,20230228
47,오로라 카나비스,ACB.TO,나스닥 증권거래소,20230331,20230331
48,에이스 글로벌 비지니스 애퀴지션,ACBA.O,나스닥 증권거래소,20230331,20230331
49,애콜레이드,ACCD.O,나스닥 증권거래소,20230228,20230228
