i,이름, 코드, 거래소, koscom_day, naver_day
185,에스테틱 메디컬 인터내셔널 홀딩스 ADR,AIH.O,나스닥 증권거래소,20221231,20230331
251,앨나일램 파마슈티컬스,ALNY.O,나스닥 증권거래소,20230331,20221231
335,앙가미,ANGH.O,나스닥 증권거래소,20221231,20211231
396,어퀴스티브 테라퓨틱스,AQST.O,나스닥 증권거래소,20230331,20221231
402,ARB.L,AltShares Merger Arbitrage ETF,아멕스 증권거래소,20230331,No_Fin
423,아겐스 ADR,ARGX.O,나스닥 증권거래소,20230331,20221231
464,에어세일,ASLE.O,나스닥 증권거래소,20221231,20230331
506,ATIF 홀딩스,ATIF.O,나스닥 증권거래소,20230131,20230430
529,알티스 USA,ATUS.K,뉴욕 거래소,20230331,20221231
547,Authid Inc,AUTH.K,나스닥 증권거래소,20210331,20230331
557,아바델 파마슈티컬스 ADR,AVDL.O,나스닥 증권거래소,20230331,20221231
562,애비드 테크놀로지,AVID.O,나스닥 증권거래소,20230331,20221231
607,애져 파워 글로벌,AZRE.K,뉴욕 거래소,20211231,20220331
608,아젠타,AZTA.O,나스닥 증권거래소,20230331,20220930
636,Permian Basin Royalty Units,BASI.O,뉴욕 거래소,20210930,20230331
730,바슈 헬스 컴퍼니스,BHC,뉴욕 거래소,20230331,20221231
758,Brookfield Infrastructure Partners Units,BIP,뉴욕 거래소,20221231,20230331
778,사우스 캐롤라이나 은행,BKSC.O,나스닥 증권거래소,20221231,20230331
833,BNO,United States Brent Oil Fund LP,아멕스 증권거래소,20160331,No_Fin
834,BNO.AX,United States Brent Oil Fund LP,아멕스 증권거래소,20221231,No_Fin
939,안호이저부시 인베브 ADR,BUD,뉴욕 거래소,20230331,20221231
973,비욘드 미트,BYND.CD,나스닥 증권거래소,20230331,20230401
1007,캉고 ADR,CANG.K,뉴욕 거래소,20221231,20230331
1052,CCC 인텔리전스 솔루션스 홀딩스,CCCS.O,뉴욕 거래소,20230331,20220930
1086,코더 온라인 룩셈부르크,CDRO.O,나스닥 증권거래소,20221231,20211231
1131,CFSB 뱅코프,CFSB.O,나스닥 증권거래소,20221231,20230331
1160,CHO.O,Schwab Short Term US Treasury ETF,아멕스 증권거래소,20210925,No_Fin
1257,클리어마인드 메디슨,CMND.CD,나스닥 증권거래소,20230131,20230430
1279,CN파이낸스 홀딩스 ADR,CNF,뉴욕 거래소,20221231,20230331
1323,콤스코프 홀딩,COMM.O,나스닥 증권거래소,20230331,20221231
1355,팝 컬처 그룹,CPOP.O,나스닥 증권거래소,20220630,20221231
1359,쿠퍼-스탠더드 홀딩스,CPS,뉴욕 거래소,20230331,20221231
1384,차지 엔터프라이시스,CRGE.O,나스닥 증권거래소,20221231,20230331
1485,카바나,CVNA.K,뉴욕 거래소,20230331,20221231
1517,커뮤니티 헬스 시스템즈,CYH,뉴욕 거래소,20230331,20221231
1575,데니스,DENN.O,나스닥 증권거래소,20230329,20221228
1606,다인 브랜드 글로벌,DIN,뉴욕 거래소,20230331,20221231
1686,알파 타우 메디컬,DRTS.O,나스닥 증권거래소,20221231,20230331
1727,닥소,DXR.O,아멕스 증권거래소,20221231,20210630
1736,Seaboard Corp,EAB.N^J20,아멕스 증권거래소,20230331,20230401
1743,브링커 인터내셔널,EAT,뉴욕 거래소,20230329,20221228
1781,에메랄드 홀딩,EEX,뉴욕 거래소,20230331,20221231
1809,E-홈 하우스홀드 서비스 홀딩스,EJH.O,나스닥 증권거래소,20220630,20221231
1816,Telephone and Data Systems Inc,ELEP.O,뉴욕 거래소,20221231,20230331
1951,엣시,ETSY.O,나스닥 증권거래소,20230331,20221231
1980,버티컬 에어로스페이스,EVTL.K,뉴욕 거래소,20221231,20230331
