i,etf,코드,이름,내용,
10011,,VLT,,
10012,etf,VLUE,iShares MSCI USA Value Factor ETF,
10017,,VMAT,V-Shares MSCI World ESG Materiality and Crbn Trans,
10018,etf,VMBS,Vanguard Mortgage-Backed Secs Idx Fund;ETF,
10026,etf,VMOT,Alpha Architect Value Momentum Trend ETF,
10028,etf,VNAM,Global X MSCI Vietnam ETF,
10032,etf,VNLA,Janus Henderson Short Duration Income ETF,
10033,etf,VNM,VanEck Vietnam ETF,
10034,,VNM,,
10041,etf,VNQ,Vanguard Real Estate Index Fund;ETF,
10042,etf,VNQI,Vanguard Global ex-US Real Estate Index Fd;ETF,
10044,etf,VNSE,Natixis Vaughan Nelson Select ETF,
10046,etf,VO,Vanguard Mid-Cap Index Fund;ETF,
10047,etf,VO,Vanguard Mid-Cap Index Fund;ETF,
10049,etf,VOE,Vanguard Mid-Cap Value Index Fund;ETF,
10050,etf,VONE,Vanguard Russell 1000 Index Fund;ETF,
10051,etf,VONG,Vanguard Russell 1000 Growth Index Fund;ETF,
10052,etf,VONV,Vanguard Russell 1000 Value Index Fund;ETF,
10053,etf,VOO,Vanguard 500 Index Fund;ETF,
10054,etf,VOOG,Vanguard S&P 500 Growth Index Fund;ETF,
10055,etf,VOOV,Vanguard S&P 500 Value Index Fund;ETF,
10057,etf,VOT,Vanguard Mid-Cap Growth Index Fund;ETF,
10058,etf,VOTE,Engine No 1 Transform 500 ETF,
10059,etf,VOX,Vanguard Communication Services Index Fund;ETF,
10064,etf,VPC,Virtus Private Credit Strategy ETF,
10066,etf,VPL,Vanguard Pacific Stock Index Fund ETF,
10067,etf,VPN,Global X Data Center REITs & Digital Infrastructure ETF,
10068,etf,VPU,Vanguard Utilities Index Fund;ETF,
10071,etf,VR,Global X Metaverse ETF,
10073,etf,VRAI,Virtus Real Asset Income ETF,
10081,etf,VRIG,Invesco Variable Rate Investment Grade ETF,
10087,etf,VRP,Invesco Variable Rate Preferred ETF,
10101,etf,VSDA,VictoryShares Dividend Accelerator ETF,
10103,etf,VSGX,Vanguard ESG International Stock ETF,
10105,etf,VSLU,Applied Finance Valuation Large Cap ETF,
10106,,VSLU,,
10107,etf,VSS,Vanguard FTSE All-World ex-US Small-Cap Index;ETF,
10112,etf,VT,Vanguard Total World Stock Index Fund;ETF,
10113,etf,VTC,Vanguard Total Corporate Bond ETF,
10114,etf,VTEB,Vanguard Tax-Exempt Bond Index Fund;ETF,
10115,etf,VTES,Vanguard Short-Term Tax-Exempt Bond ETF,
10118,etf,VTHR,Vanguard Russell 3000 Index Fund;ETF,
10119,etf,VTI,Vanguard Total Stock Market Index Fund;ETF,
10120,etf,VTIP,Vanguard Sht-Term Inflation-Protected Sec Idx;ETF,
10130,etf,VTV,Vanguard Value Index Fund;ETF,
10132,etf,VTWG,Vanguard Russell 2000 Growth Index Fund;ETF,
10133,etf,VTWO,Vanguard Russell 2000 Index Fund;ETF,
10134,etf,VTWV,Vanguard Russell 2000 Value Index Fund;ETF,
10136,etf,VUG,Vanguard Growth Index Fund;ETF,
10137,etf,VUSB,Vanguard Ultra-Short Bond ETF,
10138,etf,VUSE,Vident US Equity Strategy ETF,
10140,etf,VV,Vanguard Large-Cap Index Fund;ETF,
10148,etf,VWID,Virtus WMC International Dividend ETF,
10149,etf,VWO,Vanguard Emerging Markets Stock Index Fund;ETF,
10150,etf,VWOB,Vanguard Emerging Markets Govt Bd Idx;ETF,
10151,etf,VXF,Vanguard Extended Market Index Fund;ETF,
10153,etf,VXUS,Vanguard Total International Stock Index Fund;ETF,
10157,etf,VYM,Vanguard High Dividend Yield ETF,
10158,etf,VYMI,Vanguard Internatl High Div Yield Index Fund;ETF,
10172,,WANT,Direxion Daily Consumer Discretionary Bull 3X Shs,
10184,,WBAT,WisdomTree Battery Value Chain and Innovation Fund,
10186,etf,WBIF,WBI BullBear Value 3000 ETF,
10187,etf,WBIG,WBI BullBear Yield 3000 ETF,
10188,etf,WBIL,WBI BullBear Quality 3000 ETF,
10189,etf,WBIY,WBI Power Factor High Dividend ETF,
10190,etf,WBND,Western Asset Total Return ETF,
10195,,WCBR,WisdomTree Cybersecurity Fund,
10198,etf,WCEO,Hypatia Women CEO ETF,
