i,코드,상품명,거래소,error
2006,EYMSN.PK^K18,,,unknown error
2011,EZT.N^K20,,,unknown error
2204,FSHPU.O,,,unknown error
2295,GDLT.O,,,unknown error
2302,GDVWU.O,,,unknown error
2326,GFCX.O,,,unknown error
2385,GLTO.O,갈렉토,나스닥 증권거래소,unknown error
2398,GMM.O,,,unknown error
2449,GPV.V,,,unknown error
2450,GPW.N^I10,,,unknown error
2472,GRP_u,,,unknown error
2545,HCM.O,허치메드 (차이나) ADR,나스닥 증권거래소,unknown error
2547,HCNE.O,,,unknown error
2663,HRYU.O,,,unknown error
2706,HVBC.O,,,unknown error
2714,HXHX.O,,,unknown error
2750,ICGCU.O,,,unknown error
2790,IHL.AX,,,unknown error
2823,IMSV.O,,,unknown error
2861,INRX.O,,,unknown error
2901,IPO-ACEG.O,,,unknown error
2902,IPO-FORE.O,,,unknown error
2903,IPO-GLOL.O,,,unknown error
2904,IPO-JUNE.O,,,unknown error
2905,IPO-KEEN.O,,,unknown error
2906,IPO-LAMI.O,,,unknown error
2907,IPO-OCEC.O,,,unknown error
2908,IPO-REGE.O,,,unknown error
2909,IPO-UNSG.O,,,unknown error
2910,IPO-YUKI.O,,,unknown error
2930,IRRX_u.K,,,unknown error
2962,IVAA.PA,,,unknown error
3025,JPO.O,,,unknown error
3081,KINS.O,킹스톤 컴퍼니,나스닥 증권거래소,unknown error
3119,KPNT.O,,,unknown error
3187,LBGJ.O,,,unknown error
3205,LDSPU.O,,,unknown error
3231,LGFa,,,unknown error
3275,LLY,일라이 릴리 앤 코,뉴욕 거래소,unknown error
3379,M0YNn.DE,,,unknown error
3448,MDBH.O,,,unknown error
3536,MJID.O,,,unknown error
3546,MLAC.O,,,unknown error
3746,NBIX.O,뉴로크린 바이오사이언시스,나스닥 증권거래소,unknown error
3849,NMK_pb,,,unknown error
3860,NNAGU.O,,,unknown error
