i,코드,상품명,거래소,error
2001,002230.SZ,002230,코스닥,unknown error
2011,002240.SZ,002240,코스피,unknown error
2137,002355.SZ,002355,코스피,unknown error
2174,002390.SZ,002390,코스피,unknown error
2198,002410.SZ,002410,코스피,unknown error
2252,002460.SZ,002460,코스피,unknown error
2419,002630.SZ,002630,코스피,unknown error
2486,002600.SZ,002600,코스피,unknown error
2498,002620.SZ,002620,코스피,unknown error
2625,002690.SZ,002690,코스피,unknown error
2651,002785.SZ,002785,코스피,unknown error
2777,002960.SZ,002960,코스피,unknown error
2872,603678.SS,603678,상해(후강퉁) 증권거래소,unknown error
2957,002810.SZ,002810,코스피,unknown error
2963,002840.SZ,002840,코스피,unknown error
3130,002880.SZ,002880,코스피,unknown error
3160,002920.SZ,002920,코스피,unknown error
