i,코드,기업명,내용,
8002,RENE,카르테시안 그로스 코퍼레이션 II,카르테시안 그로스 코퍼레이션 IICartesian Growth Corporation II카르테시안 그로스 코퍼레이션 II 는 기업인수목적 회사이다. 이 회사는 합병 주식 교환 자산 취득 주식 매입 자본 확충 재편 또는 유사한 사업 결합을 하나 이상의 사업체 또는 법인과 체결할 목적으로 설립되었다.이 회사는 다양한 부문 산업 및 지역에서 오랜기간 투자를 해왔고 초기 비즈니스 결합 후에도 지속적인 가치 창출이 가능한 대상 비즈니스를 찾고 있다.이 회사는 운영을 시작하거나 수익을 창출하지 않았다.
8003,RENEU,Cartesian Growth Ii Units,Cartesian Growth Ii UnitsCartesian Growth Ii Units카르테시안 그로스 코퍼레이션 II 는 기업인수목적 회사이다. 이 회사는 합병 주식 교환 자산 취득 주식 매입 자본 확충 재편 또는 유사한 사업 결합을 하나 이상의 사업체 또는 법인과 체결할 목적으로 설립되었다.이 회사는 다양한 부문 산업 및 지역에서 오랜기간 투자를 해왔고 초기 비즈니스 결합 후에도 지속적인 가치 창출이 가능한 대상 비즈니스를 찾고 있다.이 회사는 운영을 시작하거나 수익을 창출하지 않았다.
8004,RENN,런런 ADR,런런 ADRRenren Inc ADR스타벅스는 전 세계 약 83개 시장에서 운영되는 스페셜티 커피의 로스터 마케터 리테일러이다.이 회사는 32660개 이상의 운영회사와 라이선스 매장을 보유하고 있다.이 회사는 미국 캐나다 및 라틴 아메리카를 포함하는 미주 중국 일본 아시아 태평양 유럽 중동 및 아프리카를 포함하는 국제 그리고 채널 개발의 세가지 부문으로 운영된다.미주 및 국제 사업부는 회사가 운영하는 매장과 라이선스 매장을 통해 커피 및 기타 음료 디저트 포장 커피 1회용 커피 제품등의 엄선된 상품을 판매한다.채널 개발 부문은 매장을 제외한 곳에서 판매하는 커피 차 음료의 판매에 종사하고 있다.이 회사는 또한 Teavana Seattle's Best Coffee Evolution Fresh Ethos Starbucks Reserve Princi 등의 다양한 브랜드로 상품과 서비스를 판매한다.
8005,RENT,렌트 더 런웨이,렌트 더 런웨이Rent the Runway Inc렌트 더 런웨이는 Closet in the Cloud라는 공유 디자이너 옷장을 제공하는 회사이다.이 회사는 750개 이상의 디자이너 브랜드에서 18000개 이상의 스타일을 제공하며 여성들이 옷을 구매하지 않고도 원하는 옷을 입을 수 있도록 함으로써 옷 입는 방식을 변화시킨다.이 회사는 멤버십 서비스를 통해 고객이 무제한 옷장에 지속적으로 액세스하고 옷을 대여할수 있게 한다.또한 멤버십 회원과 고객에게 재판매 제안을 통해 제품을 구매할 수 있는 기능을 제공한다.이 회사의 Closet in the Cloud는 이브닝 웨어와 액세서리부터 기성복 워크웨어 데님 캐주얼 임산부 아우터 블라우스 니트웨어 라운지웨어 주얼리 핸드백 액티브웨어 스키웨어에 이르기까지 모든 상황에 어울리는 다양한 아이템을 제공한다.이 회사의 Closet in the Cloud는 브랜드 데이터 물류 및 기술 이점을 기반으로 구축된 플랫폼에서 참여 고객과 차별화된 브랜드 파트너를 연결한다.
8007,REPL,레플리뮨 그룹,레플리뮨 그룹Replimune Group Inc레플리뮨 그룹은 임상 단계의 생명 공학 회사이다. 이 회사는암 환자를 치료하는 종양 용해 면역 요법 분야에 종사하고 있다.이 회사는Immulytic 플랫폼을 적용하여 고형 종양에 대한 면역 체계를 최대로 활성화하기 위한 제품 후보를 설계하고 개발한다.이 회사는암 환자에게 임상적 이점을 제공하기 위해 종양용해성 면역치료제 후보 파이프라인을 개발하는 데 중점을 두고 있다.이 회사의 제품 후보에는 RP1 RP2 및 RP3이 포함된다. 이 회사는 다양한 고형 종양을 가진 약 240명의 환자를 대상으로 주요 제품 후보인 RP1을 사용한 2상 임상 시험에 집중하고 있다.
8009,RERE,AT리뉴 ADR,AT리뉴 ADRATRenew Inc ADR아이후이쇼 인터내셔널 ADR Class A는 중국에서 가전제품 거래와 서비스 플랫폼을 제공하는 회사이다.이 회사는 휴대전화와 노트북과 같은 디지털 제품의 재활용 사업에 초점을 맞추고 있다.이 회사의 주요 사업에는 제품 판매와 서비스 제공으로 구성된다. 제품 판매 부문은 소비자 소상공인 가전 브랜드 전자상거래 플랫폼 유통업체 등으로부터 중고 휴대전화 등의 가전제품을 온·오프라인 채널을 통해 구입한 뒤 중고제품 가공을 위한 검사·등급 매기기·가격결정을 한다.서비스를 제공 부문은 판매자와 고객에게 온라인 마켓플레이스를 제공하고 거래 수수료를 부과한다.
8010,RES,RPC,RPCRPC IncRPC는 여러 유전 서비스 회사의 지주 회사다. 이 회사는 주로 미국 남서부 중부 대륙 멕시코만 록키산맥 및 애팔래치아 지역과 일부 국제 시장을 포함한 미국 전역에서 석유 및 가스 자산의 탐사 생산 및 개발에 종사하는 독립 및 석유 및 가스 회사에 다양한 유전 서비스 및 장비를 제공한다.사업 부문에는 기술 서비스 및 지원 서비스가 포함된다. 기술 서비스 부문에는 인력과 장비를 활용하여 고객의 유정에 직접 부가가치가 높은 완공 생산 및 유지보수 서비스를 수행하는 석유 및 가스 서비스가 포함된다.지원 서비스 부문에는 인력이 없이 유정 현장 외부에서 제공되는 장비와 강의실 및 컴퓨터 교육과 같이 유정 현장 외부에서 고객 운영을 지원하기 위해 제공되는 모든 서비스가 포함된다.
8015,RETA,리타 파머수티컬스,리타 파머수티컬스Reata Pharmaceuticals Inc리타 파머수티컬스는 치료법을 식별 개발 및 상업화하는 데 주력하는 임상 단계의 바이오 제약 회사다.이 회사는 생명을 위협하는 중증 질환 치료를 위한 작용 메커니즘을 가진 저분자 치료제에 집중한다.주요 프로그램은 프리드리히 운동실조증(FA)이라는 희귀 신경 질환에 대한 오마벨록솔론과 희귀 만성 신장 질환(CKD)에 대한 바르독솔론이다.두 가지 주요 제품 후보 모두 전사인자 Nrf2를 활성화하여 미토콘드리아 기능을 정상화하고 산화 환원 균형을 회복하며 염증을 해결한다.이 회사는 특정 적응증에서 바르독솔론에 대한 특정 아시아 시장을 제외한 오마벨록솔론 바르독솔론 및 기타 Nrf2 활성화제를 개발 제조 및 상업화할 수 있는 전 세계 권리를 보유한다.또한 Hsp90 조절제 프로그램의 주요 제품 후보인 셈도메스피브를 신경계 적응증으로 개발한다.회사는 CKD를 위한 세 가지 파이프라인 프로그램을 보유한다.
8017,RETO,리토 에코-솔루션,리토 에코-솔루션ReTo Eco-Solutions Inc리토 에코-솔루션은 지주 회사입니다. 본 업체는 이러한 친환경 건축자재 생산에 사용되는 장비뿐만 아니라 광산 폐기물이나 철 꼬리와 플라이애쉬로 만든 골재 벽돌 파 타일 등의 친환경 건축자재 제조 및 유통에 주력하고 있습니다.또한 당사는 일반적으로 스폰지 도시라고 하는 빗물을 포획 제어 및 재사용할 목적으로 하는 환경 등 도시 생태 환경의 협의 설계 프로젝트 이행 및 건설을 제공합니다.친환경 건축자재 친환경 건축자재 제조장비 등 다양한 제품을 제공하고 있습니다.당사는 또한 지상 작업 자재 조경 유지 재료 유압 엔지니어링 재료 및 벽 재료도 제공합니다.
8018,REUN,리유니언 뉴로사이언스,리유니언 뉴로사이언스Reunion Neuroscience Inc리유니언 뉴로사이언스는 세로토닌 수용체 작용제 화합물을 개발하여 정신 건강 상태에 대한 치료 솔루션을 제공하는 환각제 개발 회사에 종사하고 있다.이 회사는 세로토닌 5HT2A 수용체를 표적으로 하는 합성 분자의 발전을 개발하고 있다.이 회사의 제품에는 RE104 및 RE200이 있다. 이 회사의 주요 자산인 RE-104는 지속적인 효능을 가진 잠재적인 속효성 항우울제로 산후 및 치료 저항성 우울증을 위해 개발 중인 환각제이다.RE104는 산후 및 치료 저항성 우울증의 주요 징후에 잠재적으로 빠르게 작용하는 치료제이다.이 회사는 만성적인 치료 패러다임 및 적응증에 잠재적으로 사용하기 위해 정신 활동을 감소시키면서 보다 선택적 세로토닌 수용체 활동을 할 수 있는 화합물을 포함하는 RE200 시리즈를 개발하고 있다.이 회사는 RE200 분자 그룹의 연구 개발에 주력하고 있다.
8019,REVB,레벨레이션 바이오사이언시스,레벨레이션 바이오사이언시스Revelation Biosciences Inc레벨레이션 바이오사이언시스는 임상 단계의 바이오 제약 회사이다. 이 회사는 선천 면역계 치료제 및 진단 개발과 상용화에 주력하고 있다.이 회사의 임상 및 비임상 단계의 치료 및 진단 플랫폼은 SARS-CoV-2 SARS-CoV-2 변종 인플루엔자 A 인플루엔자 B 파라인플루엔자 호흡기 세포융합 바이러스 비부비동염 등 다양한 바이러스 감염에 적용된다.이 회사의 주요 치료제 후보에는 REVTx-99 REVTx-200 REVDx-501이 포함된다.REVTx-99는 알레르기나 만성 비부비동염으로 인한 코막힘을 포함한 호흡기 바이러스 감염의 예방 또는 치료를 위한 항바이러스성 점비제이다.REVTx-200은 근육내(IM) 백신과 함께 투여되는 비강내 요법이다.REVDx-501(REVID Rapid Test Kit)은 다양한 호흡기 바이러스 감염을 검출하기 위해 개발된 리드 진단 장치 프로그램이다.
8020,REVG,REV 그룹,REV 그룹REV Group IncREV 그룹는 특수 차량 및 관련 애프터마켓 부품 및 서비스의 디자이너 제조업체 및 유통업체이다.이 회사는 소방 장치와 같은 공공 서비스 터미널 트럭과 산업용 청소차와 같은 상업 인프라 레저용 차량과 같은 소비자 레저에 대한 필수 요구를 포함한 애플리케이션을 위한 맞춤형 차량 솔루션을 제공한다.이 회사는 세개의 부문을 통해 운영된다. 소방 및 비상 부문은 E-ONE Kovatch Mobile Equipment Ferrara Fire Apparatus and Spartan Emergency Response의 브랜드로 소화장비를 판매하며 American Emergency Vehicles Horton Emergency Vehicles Leader Emergency Vehicles Road Rescue Wheeled Coach 브랜드로 구급차를 판매한다.상업 부문은 미국의 소형 A형 스쿨버스 트랜싯 버스 터미널 트럭 스위퍼 생산업체이다.레크리에이션 부문은 American Coach Fleetwood RV Holiday Rambler Renegade RV Midwest Automotive Designs Lance 브랜드를 통해 RV 시장에 서비스를 제공하고 있다.
8023,REX,렉스 아메리칸 리소시즈,렉스 아메리칸 리소시즈REX American Resources Corp렉스 아메리칸 리소시즈는 지주 회사이다. 이 회사는 에탄올 및 부산물 부문을 통해 운영된다. 이 회사의 에탄올 작업은 옥수수 에탄올 증류 곡물 비식품 등급 옥수수 기름 및 천연 가스에 중점을 둔다.이 회사는 총 6억 9900만 갤런의 에탄올을 선적한 6개 이상의 에탄올 생산 시설에 지분을 소유하고 있다.또한 이 회사는 약 2억 8200만 갤런에 대한 소유 지분을 가진 에탄올 생산 시설에서 선적한 갤런의 소유권을 가지고 있다.이 회사는 One Earth Energy LLC(One Earth) NuGen Energy LLC(NuGen) 및 Big River Resources LLC(Big River)를 포함한 자회사를 통해 운영된다.이 회사의 에탄올 산업은 미국에서 연간 약 177억 갤런의 에탄올을 생산할 수 있는 25개 주에 208개의 공장으로 구성되어 있다.이 회사는 미국에서 약 10억 갤런을 수출한다.
8024,REXR,렉스포드 인더스트리얼 리얼티,렉스포드 인더스트리얼 리얼티Rexford Industrial Realty Inc렉스포드 인더스트리얼 리얼티는 자체 관리형 전체 서비스 부동산 투자 신탁(REIT)이다.이 회사는 Southern California 공터 활용 시장에서 산업용 부동산을 소유하고 운영하는 데 초점을 맞추고 있다.이 회사는 Rexford Industrial Realty L.P.및 그 자회사를 통해 남가주 인필 시장에 위치한 산업용 부동산을 소유 관리 임대 취득 개발하고 산업용 부동산이 담보하는 담보부채도 취득하거나 제공한다.이 회사는 특수관계자 및 제3자 부동산 소유자에게 부동산 관리 서비스를 제공하고 임대 서비스를 제공하고 있다.이 회사의 부동산 관리 서비스에는 부동산 검사 수리 및 유지보수 모니터링 벤더 계약 협상 임차인 관계 유지 재무 및 회계 감독 제공 등이 포함된다.이 회사의 포트폴리오는 약 300개의 부동산과 3720만 평방피트로 구성되어 있다.
8025,REXR PR B,렉스포드 인더스트리얼 리얼티 우선주 시리즈 B 5.875%,렉스포드 인더스트리얼 리얼티 우선주 시리즈 B 5.875%Rexford Indl Rlty Pref Shs Series B렉스포드 인더스트리얼 리얼티는 자체 관리형 전체 서비스 부동산 투자 신탁(REIT)이다.이 회사는 Southern California 공터 활용 시장에서 산업용 부동산을 소유하고 운영하는 데 초점을 맞추고 있다.이 회사는 Rexford Industrial Realty L.P.및 그 자회사를 통해 남가주 인필 시장에 위치한 산업용 부동산을 소유 관리 임대 취득 개발하고 산업용 부동산이 담보하는 담보부채도 취득하거나 제공한다.이 회사는 특수관계자 및 제3자 부동산 소유자에게 부동산 관리 서비스를 제공하고 임대 서비스를 제공하고 있다.이 회사의 부동산 관리 서비스에는 부동산 검사 수리 및 유지보수 모니터링 벤더 계약 협상 임차인 관계 유지 재무 및 회계 감독 제공 등이 포함된다.이 회사의 포트폴리오는 약 300개의 부동산과 3720만 평방피트로 구성되어 있다.
