RIC,MAX(ACCOUNT_DATE)
688733.SS       ,20230331
300726.SZ       ,20230331
300705.SZ       ,20230331
603012.SS       ,20230331
002958.SZ       ,20230331
000036.SZ       ,20230331
300827.SZ       ,20230331
688153.SS       ,20230331
300848.SZ       ,20230331
300777.SZ       ,20230331
301215.SZ       ,20230331
301206.SZ       ,20230331
002929.SZ       ,20230331
688357.SS       ,20230331
688122.SS       ,20230331
603105.SS       ,20230331
301168.SZ       ,20230331
300776.SZ       ,20230331
688076.SS       ,20230331
688390.SS       ,20230331
688676.SS       ,20230331
300763.SZ       ,20230331
688026.SS       ,20230331
601528.SS       ,20230331
688518.SS       ,20230331
301152.SZ       ,20230331
688276.SS       ,20230331
002966.SZ       ,20230331
600135.SS       ,20230331
603676.SS       ,20230331
300674.SZ       ,20230331
600510.SS       ,20230331
300737.SZ       ,20230331
603429.SS       ,20230331
601860.SS       ,20230331
688269.SS       ,20230331
688550.SS       ,20230331
688150.SS       ,20230331
601939.SS       ,20230331
601880.SS       ,20230331
688556.SS       ,20230331
300604.SZ       ,20230331
300809.SZ       ,20230331
300799.SZ       ,20230331
301017.SZ       ,20230331
600903.SS       ,20230331
002943.SZ       ,20230331
003035.SZ       ,20230331
301091.SZ       ,20230331
603871.SS       ,20230331
603712.SS       ,20230331
300718.SZ       ,20230331
601375.SS       ,20230331
000825.SZ       ,20230331
601609.SS       ,20230331
300829.SZ       ,20230331
600928.SS       ,20230331
603565.SS       ,20230331
300603.SZ       ,20230331
002916.SZ       ,20230331
603956.SS       ,20230331
601881.SS       ,20230331
300634.SZ       ,20230331
603379.SS       ,20230331
300722.SZ       ,20230331
002928.SZ       ,20230331
300735.SZ       ,20230331
603486.SS       ,20230331
300620.SZ       ,20230331
688131.SS       ,20230331
000792.SZ       ,20230331
603236.SS       ,20230331
603297.SS       ,20230331
300773.SZ       ,20230331
688267.SS       ,20230331
688033.SS       ,20230331
301302.SZ       ,20230331
601990.SS       ,20230331
603897.SS       ,20230331
000671.SZ       ,20230331
603733.SS       ,20230331
300725.SZ       ,20230331
601200.SS       ,20230331
002978.SZ       ,20230331
603596.SS       ,20230331
603666.SS       ,20230331
300774.SZ       ,20230331
600158.SS       ,20230331
