RIC,MAX(ACCOUNT_DATE)
8460.HK         ,20230331
8013.HK         ,20230228
0011.HK         ,20221231
1571.HK         ,20221231
1758.HK         ,20230228
0994.HK         ,20221231
9963.HK         ,20221231
0910.HK         ,20221231
8428.HK         ,20221231
8309.HK         ,20221231
8385.HK         ,20230331
0876.HK         ,20221231
3983.HK         ,20221231
8481.HK         ,20230331
3990.HK         ,20221231
3395.HK         ,20230331
1741.HK         ,20230331
1702.HK         ,20221231
8413.HK         ,20221231
0301.HK         ,20221231
8472.HK         ,20230331
1417.HK         ,20221231
8423.HK         ,20230331
8462.HK         ,20230331
1932.HK         ,20221231
1749.HK         ,20221231
8446.HK         ,20230331
0698.HK         ,20221231
1850.HK         ,20221031
1933.HK         ,20230331
2262.HK         ,20221231
8427.HK         ,20230228
1410.HK         ,20230331
1536.HK         ,20220930
1827.HK         ,20220930
8395.HK         ,20230331
2159.HK         ,20221231
2885.HK         ,20221231
1809.HK         ,20221231
2176.HK         ,20221231
1787.HK         ,20221231
1843.HK         ,20220930
3798.HK         ,20221231
8537.HK         ,20221231
RUAL.MM         ,20221231
8152.HK         ,20230331
1975.HK         ,20221231
1742.HK         ,20221031
3830.HK         ,20221031
0312.HK         ,20221231
8405.HK         ,20230331
8350.HK         ,20230331
8362.HK         ,20230331
2232.HK         ,20221231
2377.HK         ,20221231
6178.HK         ,20221231
0017.HK         ,20221231
1710.HK         ,20221231
1045.HK         ,20221231
8471.HK         ,20230331
8402.HK         ,20230331
1656.HK         ,20221231
8400.HK         ,20230331
6069.HK         ,20221231
2337.HK         ,20221231
8347.HK         ,20221231
1905.HK         ,20221231
1695.HK         ,20221231
9636.HK         ,20221231
8223.HK         ,20230331
0073.HK         ,20221231
8430.HK         ,20230331
6966.HK         ,20221231
9978.HK         ,20221231
0592.HK         ,20221231
1552.HK         ,20221231
6885.HK         ,20221231
8521.HK         ,20230331
8493.HK         ,20230331
1671.HK         ,20221231
8429.HK         ,20230331
8419.HK         ,20230331
0861.HK         ,20221231
8495.HK         ,20230331
2225.HK         ,20221231
1216.HK         ,20221231
8491.HK         ,20230331
8526.HK         ,20230331
8375.HK         ,20230331
1529.HK         ,20221231
1655.HK         ,20221231
0756.HK         ,20221231
8383.HK         ,20230228
8275.HK         ,20221231
0353.HK         ,20220930
1548.HK         ,20221231
2708.HK         ,20220930
1475.HK         ,20230331
2269.HK         ,20221231
0467.HK         ,20221231
8480.HK         ,20230331
6038.HK         ,20221231
2448.HK         ,20221231
8612.HK         ,20230331
1720.HK         ,20221231
3878.HK         ,20220930
0788.HK         ,20221231
1481.HK         ,20221231
8437.HK         ,20221231
6829.HK         ,20220930
8448.HK         ,20221231
2778.HK         ,20221231
8476.HK         ,20230331
1763.HK         ,20221231
6118.HK         ,20221231
6080.HK         ,20220930
1931.HK         ,20221231
2292.HK         ,20221231
1783.HK         ,20220930
0784.HK         ,20220930
8392.HK         ,20221231
6928.HK         ,20221231
1693.HK         ,20220930
0151.HK         ,20220930
3738.HK         ,20221231
8065.HK         ,20230331
8377.HK         ,20230331
600801.SS       ,20230331
2122.HK         ,20221231
BZ.O            ,20230331
9985.HK         ,20221231
1300.HK         ,20221231
8257.HK         ,20230331
8287.HK         ,20220630
6182.HK         ,20220930
2683.HK         ,20230331
8285.HK         ,20230331
6036.HK         ,20221231
8371.HK         ,20221231
8450.HK         ,20230331
1682.HK         ,20220930
6881.HK         ,20221231
9689.HK         ,20230331
8136.HK         ,20230331
8501.HK         ,20221231
8040.HK         ,20221231
2022.HK         ,20221231
8483.HK         ,20230331
2182.HK         ,20221231
1183.HK         ,20221231
1427.HK         ,20221231
8456.HK         ,20221231
8535.HK         ,20230331
8536.HK         ,20230331
3309.HK         ,20221231
8117.HK         ,20230331
1735.HK         ,20221231
8473.HK         ,20230331
8523.HK         ,20221231
8426.HK         ,20230331
8422.HK         ,20230331
8313.HK         ,20230331
2863.HK         ,20230331
1729.HK         ,20220930
1706.HK         ,20221231
1722.HK         ,20221231
1737.HK         ,20220930
8367.HK         ,20221231
1825.HK         ,20220930
8107.HK         ,20230331
0732.HK         ,20221231
601326.SS       ,20230331
8527.HK         ,20230331
3699.HK         ,20221231
1621.HK         ,20220930
1750.HK         ,20221231
8487.HK         ,20230331
0839.HK         ,20230228
8401.HK         ,20230331
1978.HK         ,20221231
1628.HK         ,20221231
1451.HK         ,20221231
8103.HK         ,20221231
8510.HK         ,20230331
2025.HK         ,20221231
8532.HK         ,20230331
9926.HK         ,20221231
1665.HK         ,20230331
1651.HK         ,20220930
1582.HK         ,20221231
1723.HK         ,20220930
8490.HK         ,20230331
8436.HK         ,20230331
2139.HK         ,20221231
8053.HK         ,20221231
8168.HK         ,20230331
8445.HK         ,20221231
2298.HK         ,20221231
8188.HK         ,20230331
8391.HK         ,20230331
8140.HK         ,20230331
8043.HK         ,20230331
3319.HK         ,20221231
1402.HK         ,20230331
9936.HK         ,20221231
0970.HK         ,20220930
8372.HK         ,20230331
8151.HK         ,20220930
6158.HK         ,20221231
8146.HK         ,20230331
1615.HK         ,20221231
8511.HK         ,20221231
2458.HK         ,20221231
1635.HK         ,20221231
8507.HK         ,20221231
2116.HK         ,20221231
1713.HK         ,20221231
8017.HK         ,20230331
8512.HK         ,20230331
8540.HK         ,20230331
8241.HK         ,20221231
1598.HK         ,20221231
1715.HK         ,20221231
0772.HK         ,20221231
8373.HK         ,20230331
1620.HK         ,20221231
2611.HK         ,20221231
6133.HK         ,20221231
1752.HK         ,20221231
2779.HK         ,20221231
2858.HK         ,20221231
1997.HK         ,20221231
8403.HK         ,20230331
8305.HK         ,20230331
8451.HK         ,20230331
2219.HK         ,20221231
1592.HK         ,20221231
8357.HK         ,20230331
1587.HK         ,20221231
2227.HK         ,20221231
8482.HK         ,20221231
8379.HK         ,20230331
0662.HK         ,20221231
8631.HK         ,20230331
8622.HK         ,20230331
1705.HK         ,20220930
