RIC,MAX(ACCOUNT_DATE)
6537.T          ,20230331
9282.T          ,20221231
4426.T          ,20230331
3550.T          ,20230228
3967.T          ,20230228
5704.T          ,20230331
4596.T          ,20230331
4317.T          ,20221130
7191.T          ,20230331
6538.T          ,20230331
6539.T          ,20230331
3476.T          ,20230430
3176.T          ,20230331
7782.T          ,20230331
7192.T          ,20230331
6203.T          ,20230331
6540.T          ,20230331
3968.T          ,20230331
3556.T          ,20230331
3477.T          ,20230331
3970.T          ,20230331
3969.T          ,20230331
3974.T          ,20230430
6542.T          ,20230331
4421.T          ,20230331
3497.T          ,20230430
5240.T          ,20230331
3976.T          ,20230430
1439.T          ,20230331
4422.T          ,20230430
6543.T          ,20230228
3557.T          ,20230228
9519.T          ,20230331
6247.T          ,20230331
1440.T          ,20230131
3558.T          ,20230228
3559.T          ,20230331
3978.T          ,20230331
9325.T          ,20230331
5480.T          ,20230331
3981.T          ,20230331
3979.T          ,20230331
3560.T          ,20230228
4881.T          ,20230331
6544.T          ,20230331
6545.T          ,20230331
3561.T          ,20230331
7105.T          ,20230331
6546.T          ,20230331
6547.T          ,20230331
3983.T          ,20230331
4597.T          ,20230331
7042.T          ,20230331
3562.T          ,20230228
6694.T          ,20230331
3563.T          ,20230331
3984.T          ,20230331
3985.T          ,20230331
6548.T          ,20230331
3565.T          ,20230430
3986.T          ,20230331
6549.T          ,20230331
3987.T          ,20230228
6550.T          ,20230331
9787.T          ,20230228
6551.T          ,20230331
3988.T          ,20230430
6552.T          ,20230228
6695.T          ,20230430
3566.T          ,20230331
7810.T          ,20230430
3480.T          ,20230430
3989.T          ,20230331
1950.T          ,20230331
6696.T          ,20230430
3990.T          ,20230228
3481.T          ,20230228
6554.T          ,20230331
3991.T          ,20230228
3992.T          ,20230331
3993.T          ,20230331
6697.T          ,20230331
3482.T          ,20230331
9260.T          ,20230331
3994.T          ,20230228
6555.T          ,20230228
9243.T          ,20230331
6556.T          ,20230331
4124.T          ,20230331
3995.T          ,20230430
9262.T          ,20230430
9284.T          ,20221231
3484.T          ,20230331
7196.T          ,20230430
6557.T          ,20230331
3483.T          ,20230131
9388.T          ,20230228
7808.T          ,20230228
