RIC,MAX(ACCOUNT_DATE)
PC1.HM          ,20230331
DAH.HM          ,20230331
HCD.HM          ,20230331
TTH.HN          ,20230331
PRE.HN          ,20221231
SAB.HM          ,20230331
DTK.HN          ,20230331
DAT.HM          ,20230331
MST.HN          ,20230331
TEG.HM          ,20230331
CEO.HN          ,20230331
TFC.HN          ,20230331
NVL.HM          ,20230331
BAB.HN          ,20230331
IBC.HM          ,20221231
MVB.HN          ,20230331
BAX.HN          ,20230331
GDW.HN          ,20230331
DBD.HM          ,20230331
MIG.HM          ,20230331
PVP.HM          ,20230331
VIB.HM          ,20230331
VIF.HN          ,20230331
SBV.HM          ,20230331
DPG.HM          ,20230331
GEX.HM          ,20230331
GEG.HM          ,20230331
EVG.HM          ,20230331
PGS.HN          ,20230331
TDG.HM          ,20230331
LEC.HM          ,20230331
BKC.HN          ,20230331
HII.HM          ,20230331
CTF.HM          ,20230331
SJF.HM          ,20221231
VSM.HN          ,20230331
VCI.HM          ,20230331
TTT.HN          ,20230331
TCD.HM          ,20221231
TNI.HM          ,20230331
CIA.HN          ,20230331
VJC.HM          ,20230331
SCS.HM          ,20230331
BWE.HM          ,20230331
GKM.HN          ,20230331
NSH.HN          ,20230331
VOS.HM          ,20230331
FTS.HM          ,20230331
VDP.HM          ,20230331
PLP.HM          ,20230331
C69.HN          ,20230331
TMB.HN          ,20230331
SEB.HN          ,20230331
HKT.HN          ,20230331
CET.HN          ,20230331
HAX.HM          ,20230331
DS3.HN          ,20221231
LPB.HM          ,20230331
MEL.HN          ,20230331
HAH.HM          ,20221231
VRE.HM          ,20230331
BCM.HM          ,20230331
TLD.HM          ,20230331
IDC.HN          ,20230331
ART.HN          ,20211231
CTR.HM          ,20230331
VPI.HM          ,20230331
DTD.HN          ,20230331
AST.HM          ,20230331
EVS.HN          ,20221231
KHS.HN          ,20230331
VE4.HN          ,20230331
TTL.HN          ,20230331
NDN.HN          ,20230331
POW.HM          ,20230331
PGV.HM          ,20230331
X20.HN          ,20230331
HRC.HM          ,20230331
VPG.HM          ,20230331
PMG.HM          ,20230331
TPB.HM          ,20230331
REE.HM          ,20230331
NRC.HN          ,20230331
GVR.HM          ,20230331
FRT.HM          ,20230331
TCB.HM          ,20230331
HSL.HM          ,20230331
YEG.HM          ,20230331
VGC.HM          ,20230331
AAV.HN          ,20230331
CRE.HM          ,20230331
TGG.HM          ,20230331
TDT.HN          ,20230331
PET.HM          ,20230331
HHP.HM          ,20230331
FIR.HM          ,20230331
CAG.HN          ,20230331
YBM.HM          ,20230331
HPX.HM          ,20221231
CRC.HM          ,20230331
VHL.HN          ,20230331
OCB.HM          ,20230331
DXS.HM          ,20230331
CTI.HM          ,20230331
SZC.HM          ,20230331
AAT.HM          ,20230331
ASG.HM          ,20230331
TKG.HN          ,20230331
SVD.HM          ,20230331
DRH.HM          ,20230331
TDP.HM          ,20230331
SSB.HM          ,20230331
CAV.HM          ,20230331
NTH.HN          ,20230331
TAR.HN          ,20230331
VCS.HN          ,20230331
DDG.HN          ,20230331
FMC.HM          ,20230331
PHN.HN          ,20230331
ABR.HM          ,20230331
PIA.HN          ,20230331
KHG.HM          ,20230331
GIC.HN          ,20230331
TN1.HM          ,20230331
PGN.HN          ,20230331
KOS.HM          ,20230331
GMH.HM          ,20230331
GAB.HM          ,20230331
ILB.HM          ,20230331
DVG.HN          ,20230331
BRC.HM          ,20230331
MSH.HM          ,20230331
SHE.HN          ,20230331
NHT.HM          ,20230331
VTZ.HN          ,20230331
VHC.HM          ,20230331
APH.HM          ,20230331
ECI.HN          ,20230331
BKG.HM          ,20230331
BCF.HN          ,20230331
SMN.HN          ,20230331
KSF.HN          ,20230331
TOT.HN          ,20221231
BNA.HN          ,20230331
VHE.HN          ,20230331
HMR.HN          ,20230331
CKG.HM          ,20221231
TTA.HM          ,20230331
HUB.HM          ,20230331
TTE.HM          ,20230331
GMA.HN          ,20230331
SZB.HN          ,20230331
SDC.HN          ,20230331
SCG.HN          ,20221231
ABS.HM          ,20230331
HTN.HM          ,20230331
ICT.HM          ,20230331
AGG.HM          ,20230331
SMC.HM          ,20230331
NHH.HM          ,20230331
HVH.HM          ,20230331
ADG.HM          ,20230331
PSH.HM          ,20230331
BAF.HM          ,20230331
THD.HN          ,20230331
EVF.HM          ,20230331
ACG.HM          ,20230331
PCH.HN          ,20230331
TNH.HM          ,20221231
DVM.HN          ,20230331
PPT.HN          ,20221231
VNM.HM          ,20221231
NAP.HN          ,20230331
SAM.HM          ,20221231
GMD.HM          ,20230331
VCA.HM          ,20230331
BBC.HM          ,20230331
INC.HN          ,20230331
KDC.HM          ,20230331
HAS.HM          ,20230331
PEN.HN          ,20230331
TMS.HM          ,20230331
ICG.HN          ,20230331
PMS.HN          ,20230331
VTC.HN          ,20230331
BPC.HN          ,20230331
SAV.HM          ,20230331
TNA.HM          ,20221231
SGH.HN          ,20230331
DNM.HN          ,20230331
TYA.HM          ,20230331
MBB.HM          ,20230331
CAN.HN          ,20230331
GIL.HM          ,20230331
VSH.HM          ,20230331
CII.HM          ,20230331
LAS.HN          ,20230331
COM.HM          ,20230331
BMP.HM          ,20230331
DHA.HM          ,20230331
DPC.HN          ,20230331
HAP.HM          ,20230331
MHC.HM          ,20230331
D11.HN          ,20230331
LAF.HM          ,20230331
HLD.HN          ,20230331
NHC.HN          ,20230331
PNC.HM          ,20230331
SFC.HM          ,20221231
SJS.HM          ,20230331
VLA.HN          ,20230331
SSC.HM          ,20230331
SGC.HN          ,20230331
STB.HM          ,20230331
VPD.HM          ,20230331
TTC.HN          ,20230331
UNI.HN          ,20230331
HTV.HM          ,20230331
BBS.HN          ,20230331
DXP.HN          ,20230331
PPC.HM          ,20230331
TBC.HM          ,20230331
TKU.HN          ,20230331
VNR.HN          ,20230331
RDP.HM          ,20230331
CTB.HN          ,20230331
HAG.HM          ,20230331
STP.HN          ,20230331
ALT.HN          ,20230331
VCG.HM          ,20230331
VC2.HN          ,20230331
BVS.HN          ,20230331
ACB.HM          ,20230331
CLC.HM          ,20230331
HVN.HM          ,20230331
ITA.HM          ,20230331
SHB.HM          ,20230331
HT1.HM          ,20230331
LSS.HM          ,20230331
BMI.HM          ,20230331
EIB.HM          ,20230331
TCR.HM          ,20230331
SGT.HM          ,20230331
DPR.HM          ,20230331
PGC.HM          ,20230331
BTS.HN          ,20230331
IMP.HM          ,20230331
TVT.HM          ,20230331
NTP.HN          ,20230331
BLF.HN          ,20230331
SSI.HM          ,20230331
TDH.HM          ,20230331
CMC.HN          ,20230331
SDA.HN          ,20230331
LBM.HM          ,20230331
SDT.HN          ,20230331
HJS.HN          ,20230331
TVD.HN          ,20230331
PVD.HM          ,20230331
SIC.HN          ,20230331
S55.HN          ,20230331
S99.HN          ,20230331
PTC.HM          ,20230331
STC.HN          ,20230331
SD9.HN          ,20230331
SVC.HM          ,20230331
PAN.HM          ,20230331
PSW.HN          ,20230331
SD6.HN          ,20230331
DTC.HN          ,20230331
SD5.HN          ,20230331
NBC.HN          ,20230331
MCO.HN          ,20230331
VC3.HN          ,20230331
SAF.HN          ,20230331
SJ1.HN          ,20230331
KHP.HM          ,20230331
BMC.HM          ,20230331
DAE.HN          ,20230331
PSC.HN          ,20230331
FPT.HM          ,20230331
DHM.HM          ,20230331
OPC.HM          ,20230331
HPG.HM          ,20230331
BCC.HN          ,20230331
SGD.HN          ,20221231
DXV.HM          ,20230331
CVT.HM          ,20230331
PVG.HN          ,20230331
TMP.HM          ,20230331
ABT.HM          ,20230331
TIG.HN          ,20230331
SCD.HM          ,20230331
HBC.HM          ,20230331
NAV.HM          ,20230331
RAL.HM          ,20230331
DHG.HM          ,20230331
PDB.HN          ,20230331
VIP.HM          ,20230331
MCP.HM          ,20230331
SFI.HM          ,20230331
VTB.HM          ,20230331
DRC.HM          ,20230331
NSC.HM          ,20221231
PV2.HN          ,20230331
HTP.HN          ,20230331
PTS.HN          ,20230331
EBS.HN          ,20230331
HDA.HN          ,20230331
PJT.HM          ,20230331
TXM.HN          ,20230331
LDG.HM          ,20230331
PLC.HN          ,20230331
NBW.HN          ,20230331
POT.HN          ,20230331
VMC.HN          ,20230331
VC7.HN          ,20230331
PJC.HN          ,20230331
DTA.HM          ,20230331
SJD.HM          ,20230331
C32.HM          ,20230331
TMC.HN          ,20230331
HMC.HM          ,20230331
SFN.HN          ,20230331
TPH.HN          ,20230331
MDG.HM          ,20230331
NST.HN          ,20230331
CJC.HN          ,20230331
SJE.HN          ,20230331
SDG.HN          ,20230331
DMC.HM          ,20230331
DST.HN          ,20230331
DTT.HM          ,20230331
PAC.HM          ,20230331
SDN.HN          ,20230331
DNP.HN          ,20230331
VID.HM          ,20230331
VNC.HN          ,20230331
VGP.HN          ,20230331
GMC.HM          ,20230331
RCL.HN          ,20230331
VTV.HN          ,20230331
LGC.HM          ,20230331
TCT.HM          ,20230331
GTA.HM          ,20230331
BCG.HM          ,20230331
TRC.HM          ,20230331
