i,코드,상품명,거래소,error
14,ADFI,,,unknown error
73,ARKG,ARKF,,Timeout
103,AVSF,Avantis Responsible Emerging Markets Equity ETF,아멕스 증권거래소,unknown error
117,BBAG,Innovator US Equity Buffer ETF - August,아멕스 증권거래소,unknown error
141,BDGS,BDEC,,unknown error
193,BLDG,BLCV,,unknown error
259,BTR,,,unknown error
346,CLOZ,CLOU,,unknown error
399,CWI,SPDR Bloomberg Convertible Securities ETF,아멕스 증권거래소,unknown error
444,DFAX,DFAU,,unknown error
448,DFEM,FT Cboe Vest US Equity Deep Buffer ETF - February,아멕스 증권거래소,unknown error
476,DIEM,Columbia Diversified Fixed Income Allocation ETF,아멕스 증권거래소,unknown error
559,ECNS,Euclidean Fundamental Value ETF,아멕스 증권거래소,unknown error
634,EOCT,,,unknown error
638,EPP,EPOL,,unknown error
644,EQOP,,,unknown error
686,EWD,EWC,,unknown error
768,FFEB,FEZ,,unknown error
794,FIVR,,,unknown error
816,FLGV,,,unknown error
828,FLMI,FLMB,,Timeout
859,FMQQ,First Trust New York Municipal High Income ETF,아멕스 증권거래소,unknown error
860,FNCL,FMNY,,unknown error
874,FPFD,First Trust Institutional Prefrrd Sec and Inc ETF,아멕스 증권거래소,unknown error
885,FSEC,Fidelity Sustainable Core Plus Bond ETF,아멕스 증권거래소,unknown error
929,FYLD,,,unknown error
953,GFF,그리폰,뉴욕 거래소,not etf
955,GFOR,그라프 애퀴지션 IV,뉴욕 거래소,not etf
957,GGR,고고로,나스닥 증권거래소,not etf
959,GGT,Gabelli MultiMedia Mutual Fund,뉴욕 거래소,not etf
962,GIGM,기가 미디어,나스닥 증권거래소,not etf
967,GLDD,그레이트 레이크스 드레지 & 독,나스닥 증권거래소,not etf
972,GLSI,그리니치 라이프사이언스,나스닥 증권거래소,not etf
976,GMBL,E스포츠 엔터테인먼트 그룹,나스닥 증권거래소,not etf
978,GMVD,G 메디컬 이노베이션스 홀딩스,나스닥 증권거래소,not etf
990,GRF,Eagle Capital Growth Fund,아멕스 증권거래소,not etf
992,GRNT,그래나이트 릿지 리소시스,뉴욕 거래소,not etf
1000,GSIT,GSI 테크놀러지,나스닥 증권거래소,not etf
1002,GSK,GSK,뉴욕 거래소,not etf
1004,GSQB,G 스퀘어드 어센드 II,뉴욕 거래소,not etf
1007,GT,굿이어 타이어 & 러버,나스닥 증권거래소,not etf
1010,GTX,가렛 모션,나스닥 증권거래소,not etf
1014,GUT,Gabelli Utility Closed Fund,뉴욕 거래소,not etf
1019,GVP,GSE 시스템,나스닥 증권거래소,not etf
1029,HAS,해즈브로,나스닥 증권거래소,not etf
1030,HASI,해넌 암스트롱 서스테이너블 인프라 캐피탈,뉴욕 거래소,not etf
1034,HAYN,헤인스 인터내셔널,나스닥 증권거래소,not etf
1041,HDSN,허드슨 테크놀로지스,나스닥 증권거래소,not etf
1047,HEES,H&E 이큅먼트 서비시스,나스닥 증권거래소,not etf
1051,HEI,헤이코,뉴욕 거래소,not etf
1053,HEP,Holly Energy Patners Units,뉴욕 거래소,not etf
1054,HEPA,헤피온 파마슈티컬스,나스닥 증권거래소,not etf
1058,HES,헤스,뉴욕 거래소,not etf
1062,HEXO,헥소,나스닥 증권거래소,not etf
1067,HGBL,헤리티지글로벌,나스닥 증권거래소,not etf
1068,HGEN,헤리티지글로벌,나스닥 증권거래소,not etf
1075,HL,헤클라 마이닝,뉴욕 거래소,not etf
1077,HLF,허벌라이프,뉴욕 거래소,not etf
1080,HMPT,홈 포인트 캐피탈,나스닥 증권거래소,not etf
1083,HON,허니웰 인터내셔널,나스닥 증권거래소,not etf
1085,HSDT,헬리우스 메디컬 테크놀로지스,나스닥 증권거래소,not etf
1087,HSON,허드슨 글로벌,나스닥 증권거래소,not etf
1089,HTBI,홈트러스트 뱅크셰어스,나스닥 증권거래소,not etf
1090,HTBK,헤리티지 커머스,나스닥 증권거래소,not etf
1094,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Closed Fund,뉴욕 거래소,not etf
1107,HYLN,하일리온 홀딩스,뉴욕 거래소,not etf
1110,HYS,HYMB,,Timeout
1111,HYT,Blackrock Coporate High Yield Mutual Fund,뉴욕 거래소,not etf
1123,IAUX,I-80 골드,아멕스 증권거래소,not etf
1126,IBCP,인디펜던트 뱅크 (미시건),나스닥 증권거래소,not etf
1127,IBD,인디펜던트 뱅크 (미시건),나스닥 증권거래소,unknown error
1128,IBDO,,,unknown error
1139,IBEX,아이벡스,나스닥 증권거래소,not etf
1140,IBHC,,,unknown error
1165,ICAD,아이캐드,나스닥 증권거래소,not etf
1167,ICCC,이뮤셀,나스닥 증권거래소,not etf
1169,ICFI,ICF 인터내셔널,나스닥 증권거래소,not etf
1173,ICVX,아이코사백스,나스닥 증권거래소,not etf
1177,IDN,인텔리체크,나스닥 증권거래소,not etf
1185,IDXX,아이덱스 래보라토리스,나스닥 증권거래소,not etf
1192,IEP,Icahn Enterprises Units,나스닥 증권거래소,not etf
1193,IESC,IES 홀딩스,나스닥 증권거래소,not etf
1199,IFRX,인플락스,나스닥 증권거래소,not etf
1201,IGA,Voya Global Advantage & Premium Opportunity Fund,뉴욕 거래소,not etf
1206,IGI,Western Asset Investment Grade Defined Opportunity Closed Fund,뉴욕 거래소,not etf
1208,IGIC,인터내셔널 제네럴 인슈런스 홀딩스,나스닥 증권거래소,not etf
1214,IGT,인터내셔널 게임 테크놀로지,뉴욕 거래소,not etf
1215,IGTA,인셉션 그로스 애퀴지션,나스닥 증권거래소,not etf
1216,IGTAR,Inception Growth Acquisition Rights,나스닥 증권거래소,not etf
1218,IH,아이휴먼 ADR,뉴욕 거래소,not etf
1233,IKNA,아이케나 온콜로지,나스닥 증권거래소,not etf
1240,IMCR,이뮤노코어 홀딩스 ADR,나스닥 증권거래소,not etf
