i,코드,상품명,거래소,개요,
2,AAA,AXS First Priority CLO Bond ETF,아멕스 증권거래소,이 펀드는 자본보존과 소득을 추구한다. 이 펀드는 적극적으로 운용되는 ETF로, 정상적인 상황에서 순자산의 80% 이상을 미국 달러 위주 담보 대출 채무의 AAA 등급 1순위 채무 환산에 투자함으로써 투자 목적을 추구한다.
3,AAAU,Goldman Sachs Physical Gold ETF,아멕스 증권거래소,이 펀드는 투자자들에게 주식을 통해 금에 투자할 수 있는 기회를 제공하고 골드 코퍼레이션이 금을 안전하게 보관할 수 있도록 하는 방안을 모색하고 있습니다. 트러스트가 보유하고 있는 금은 런던바와 금 순도가 최소 99.5%인 다른 금 제품을 포함합니다(동전, 주물, 주물 및 주형 막대를 포함하되 이에 국한되지 않음).
12,AADR,AdvisorShares Dorsey Wright ADR ETF,아멕스 증권거래소,이 펀드는 MSCI EAFE 지수 및 BNY Mellon Classic ADR 지수 등과 같은 국제 벤치마크보다 장기적인 시세차익을 추구합니다. 이 펀드는 BNY Mellon Classic ADR Index에 포함된 미국 이외 기관의 미국 거래 증권 포트폴리오를 선택합니다.
26,AAPB,GraniteShares 1.75x Long AAPL Daily ETF,나스닥 증권거래소,이 펀드는 수수료와 비용을 제외하고, Apple Inc. 주식의 일일 변동 비율의 1.75배의 일일 투자 결과를 추구한다. 이 펀드는 기초주식의 1.75배를 보유해야 하는 경제적 특성을 가진 금융상품에 대한 익스포저의 80% 이상을 보유하는 정책을 채택했다.
32,AAPB,GraniteShares 1.75x Long AAPL Daily ETF,나스닥 증권거래소,이 펀드는 MSCI All Country Asia ex Japan Index의 가격과 수익률에 부합하는 투자 성과를 추구합니다. 이 지수는 중국, 홍콩, 인도, 인도네시아, 말레이시아, 필리핀, 싱가포르, 한국, 대만, 태국의 주식 시장 실적을 측정하기 위한 것입니다.
40,ABEQ,Absolute Select Value ETF,아멕스 증권거래소,본 펀드는 절대 수익을 추구하며 근본적으로 투자 매력이 크고 절대 수익을 낼 기업을 식별, 구매 및 판매하기 위해 5단계 프로세스를 사용하며 이는 모든 시장 상황, 완전한 시장 주기, 수수료 및 비용 순액에서 긍정적인 수익을 추구한다는 것을 의미한다.
78,ACES,ALPS Clean Energy ETF,아멕스 증권거래소,이 펀드는 CIBC Atlas Clean Energy Index의 성과에 해당하는 투자 성과를 추구합니다. 이 지수는 재생 에너지 및 청정 기술을 포함한 청정 에너지 분야에 관련된 미국 및 캐나다 기업 세트에 대한 노출을 제공하기 위해 고안된 규칙 기반 방법론을 활용합니다.
89,ACIO,Aptus Collared Investment Opportunity ETF,아멕스 증권거래소,이 펀드는 현재의 수입과 시세차익을 추구합니다. 이 펀드는 적극적으로 관리되는 교환 트레이드 펀드로 주로 미국 상장 주식 증권 포트폴리오와 같은 기초 주식 증권에 대한 옵션에 투자함으로써 투자 목적을 달성하고자 하는 펀드입니다.
112,ACSI,American Customer Satisfaction ETF,아멕스 증권거래소,이 펀드는 수수료와 비용을 제외하고 American Customer Satisfaction Investable Index의 성과를 추적하고자 한다. 이 펀드는 일반적인 상황에서 펀드 순자산의 최소 80%와 투자 목적을 위한 차입금을 경제적으로 미국과 연계된 곳에 투자한다.
116,ACTV,LeaderShares Activist Leaders ETF,아멕스 증권거래소,이 펀드는 장기적인 자본 성장을 창출하고자 한다. 이 펀드는 주주행동주의의 대상이 되는 주식 증권에 초점을 맞추고 있다. 이는 SEC에 제출된 "13D" 파일로 알려진 법적으로 의무화된 파일의 추적을 기반으로 구축된 독점 정량적 방법을 사용하여 식별된다.
120,ACVF,American Conservative Values ETF,아멕스 증권거래소,이 펀드는 자본보전을 부차적인 목표로 하여 장기적인 시세차익을 달성하고자 한다. 일반적으로 이 펀드는 정치적으로 보수적인 기준을 충족하는 미국 기업의 주식 증권에 순자산의 최소 80%를 투자함으로써 투자목적을 달성하고자 한다.
121,ACWI,iShares MSCI ACWI ETF,나스닥 증권거래소,이 펀드는 일반적으로 MSCI All Country World Index의 수수료 및 비용 차감 이전의 가격과 수익 성과에 상응하는 투자 결과를 찾습니다. 이 펀드는 선진국과 신흥 시장 국가의 종합적 주식 시장 성과를 측정하고자 합니다.
