RIC	MAX(ACCOUNT_DATE)
                	20220331
301391.SZ       	20230331
6128.HK         	20221231
A               	20230430
AA              	20230331
AAC             	20230331
AACG.O          	20230331
AACI.O          	20230331
AACT_u.K        	20230331
AADI.O          	20230331
AAIC.K          	20230331
AAL.O           	20230331
AAMC.K          	20230331
AAME.O          	20220930
AAN             	20230331
AAOI.O          	20230331
AAON.O          	20230331
AAP             	20230422
AAPL.O          	20230401
AAT             	20230331
AAU             	20230331
AB              	20230331
ABBV.K          	20230331
ABC             	20230331
ABCB.O          	20230331
ABCL.O          	20230331
ABCM.O          	20221231
ABEO.O          	20230331
ABEV.K          	20230331
ABG             	20230331
ABIO.O          	20230331
ABM             	20230430
ABNB.O          	20230331
ABOS.O          	20230331
ABR             	20230331
ABSI.O          	20230331
ABST.TO         	20230331
ABT             	20230331
ABUS.O          	20230331
ABVC.O          	20230331
AC              	20230331
ACA             	20230331
ACAB.O          	20230331
ACAC.O          	20230331
ACAD.O          	20230331
ACAH.O          	20230331
ACAQ.K          	20230331
ACAX.O          	20230228
ACB.TO          	20230331
ACBA.O          	20230331
ACCD.O          	20230228
ACCO.K          	20230331
ACDC.O          	20230331
ACEL.K          	20230331
ACER.O          	20230331
ACET.O          	20230331
ACGL.O          	20230331
ACGN.O          	20221231
ACHC.O          	20230331
ACHL.O          	20230331
ACHR.K          	20230331
ACHV.O          	20230331
ACI             	20230225
ACIU.O          	20230331
ACIW.O          	20230331
ACLS.O          	20230331
ACLX.O          	20230331
ACM             	20230331
ACMR.O          	20230331
ACN             	20230228
ACNB.O          	20230331
ACNT.O          	20230331
ACON.O          	20221231
ACOR.O          	20230331
ACR             	20230331
ACRE.K          	20230331
ACRO.K          	20230331
ACRS.O          	20230331
ACRV.O          	20230331
ACRX.O          	20230331
ACST.O          	20221231
ACT.O           	20230331
ACU             	20230331
ACV             	20230131
ACVA.O          	20230331
ACXP.O          	20230331
ADAG.O          	20221231
ADAP.O          	20230331
ADBE.O          	20230602
ADC             	20230331
ADCT.K          	20230331
ADD.O           	20221231
ADEA.O          	20230331
ADER.O          	20230331
ADES.O          	20230331
ADEX.K          	20230331
ADI.O           	20230429
ADIL.O          	20230331
ADM             	20230331
ADMA.O          	20230331
ADMP.O          	20230331
ADN.O           	20230331
ADNT.K          	20230331
ADOC.O          	20230331
ADP.O           	20230331
ADPT.O          	20230331
ADRT.K          	20230331
ADSE.O          	20221231
ADSK.O          	20230430
ADT             	20230331
ADTH.O          	20230331
ADTN.O          	20230331
ADTX.O          	20230331
ADUS.O          	20230331
ADV.O           	20230331
ADVM.O          	20230331
ADX             	20221231
ADXN.O          	20230331
AE              	20230331
AEAE.O          	20230331
AEE             	20230331
AEF             	20221231
AEG             	20221231
AEHL.O          	20221231
AEHR.O          	20230228
AEI.O           	20230331
AEIS.O          	20230331
AEL             	20230331
AEM             	20230331
AEMD.O          	20221231
AENZ.K          	20230331
AEO             	20230429
AEP.O           	20230331
AER             	20230331
AES             	20230331
AESI.K          	20230331
AEVA.K          	20230331
