i,이름, 코드, 거래소, koscom_day, naver_day
2000,002229,002229.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2001,002230,002230.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2002,002232,002232.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2003,002233,002233.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2004,002234,002234.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2005,002235,002235.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2006,002236,002236.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2007,002237,002237.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2009,002239,002239.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2010,002241,002241.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2011,002240,002240.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2012,002242,002242.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2013,002243,002243.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2014,002244,002244.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2015,002245,002245.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2016,002246,002246.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2017,002247,002247.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2018,002249,002249.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2019,002250,002250.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2020,600959,600959.SS,상해(후강퉁) 증권거래소,20230331,20230331
2021,002251,002251.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2022,002254,002254.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2023,002256,002256.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2024,002258,002258.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2025,002259,002259.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2026,002262,002262.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2027,002261,002261.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2028,002263,002263.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2029,002265,002265.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2030,002266,002266.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2031,603517,603517.SS,상해(후강퉁) 증권거래소,20230331,20230331
2032,002267,002267.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2033,002268,002268.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2034,601766,601766.SS,상해(후강퉁) 증권거래소,20230331,20230331
2035,002269,002269.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2036,002270,002270.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2037,002845,002845.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2038,002271,002271.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2039,002273,002273.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2040,002274,002274.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2041,601727,601727.SS,상해(후강퉁) 증권거래소,20230331,20230331
2042,002275,002275.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2043,002276,002276.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2044,601107,601107.SS,상해(후강퉁) 증권거래소,20230331,20230331
2045,601668,601668.SS,상해(후강퉁) 증권거래소,20230331,20230331
2046,002278,002278.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2047,002279,002279.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2048,002280,002280.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2049,002281,002281.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2050,002282,002282.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2051,002283,002283.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2052,002284,002284.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2053,002285,002285.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2055,002292,002292.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2056,002294,002294.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2057,601618,601618.SS,상해(후강퉁) 증권거래소,20230331,20230331
2058,002296,002296.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2059,002297,002297.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2060,002298,002298.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2061,601888,601888.SS,상해(후강퉁) 증권거래소,20230331,20230331
2062,300001,300001.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2063,300004,300004.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2064,300003,300003.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2065,300005,300005.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2066,300006,300006.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2067,300008,300008.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2068,002299,002299.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2069,300009,300009.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2070,300010,300010.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2071,002301,002301.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2072,300014,300014.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2073,300015,300015.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2074,300017,300017.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2075,300011,300011.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2076,300020,300020.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2077,300021,300021.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2078,300027,300027.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2079,300024,300024.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2080,300025,300025.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2081,300026,300026.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2082,002302,002302.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2083,002304,002304.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2084,002305,002305.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2085,002307,002307.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2086,600999,600999.SS,상해(후강퉁) 증권거래소,20230331,20230331
2087,002308,002308.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2088,002309,002309.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2089,002311,002311.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2090,002312,002312.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2091,002313,002313.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2092,002314,002314.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2093,002317,002317.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2094,601989,601989.SS,상해(후강퉁) 증권거래소,20230331,20230331
2095,002321,002321.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2096,002323,002323.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2097,603667,603667.SS,상해(후강퉁) 증권거래소,20230331,20230331
2098,002324,002324.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2099,601139,601139.SS,상해(후강퉁) 증권거래소,20230331,20230331
2100,002325,002325.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2101,002326,002326.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2102,300032,300032.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2103,300033,300033.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2104,300034,300034.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2105,300035,300035.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2106,300036,300036.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2107,002327,002327.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2108,002329,002329.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2109,300037,300037.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2110,300039,300039.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2111,300041,300041.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2112,601117,601117.SS,상해(후강퉁) 증권거래소,20230331,20230331
2113,002334,002334.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2114,002335,002335.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2116,002338,002338.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2117,601801,601801.SS,상해(후강퉁) 증권거래소,20230331,20230331
2118,300043,300043.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2119,300044,300044.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2120,300047,300047.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2121,300048,300048.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2122,002341,002341.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2123,601877,601877.SS,상해(후강퉁) 증권거래소,20230331,20230331
2124,002342,002342.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2125,002343,002343.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2126,002344,002344.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2127,601179,601179.SS,상해(후강퉁) 증권거래소,20230331,20230331
2128,002345,002345.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2129,002346,002346.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2130,002348,002348.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2131,300633,300633.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2132,002349,002349.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2133,002353,002353.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2135,002351,002351.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2136,002352,002352.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2137,002355,002355.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2138,002356,002356.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2139,601106,601106.SS,상해(후강퉁) 증권거래소,20230331,20230331
2140,002358,002358.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2141,300052,300052.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2142,300051,300051.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2143,300053,300053.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2144,300054,300054.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2145,300056,300056.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2146,300057,300057.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2147,300058,300058.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2148,601678,601678.SS,상해(후강퉁) 증권거래소,20230331,20230331
2149,002361,002361.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2151,601688,601688.SS,상해(후강퉁) 증권거래소,20230331,20230331
2152,002364,002364.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2153,002365,002365.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2154,002366,002366.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2155,002367,002367.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2156,002370,002370.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2157,002371,002371.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2158,002373,002373.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2159,002374,002374.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2160,002372,002372.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2161,300059,300059.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2162,002376,002376.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2163,601158,601158.SS,상해(후강퉁) 증권거래소,20230331,20230331
2164,300065,300065.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2165,300066,300066.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2166,002378,002378.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2167,601101,601101.SS,상해(후강퉁) 증권거래소,20230331,20230331
2168,002383,002383.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2169,002382,002382.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2170,002386,002386.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2171,002384,002384.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2172,002387,002387.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2173,002389,002389.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2174,002390,002390.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2175,300068,300068.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2176,300070,300070.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2177,300071,300071.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2178,300072,300072.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2180,300074,300074.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2181,300075,300075.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2182,002396,002396.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2183,300077,300077.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2184,300078,300078.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2185,300079,300079.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2186,002398,002398.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2187,002399,002399.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2188,002400,002400.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2190,002402,002402.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2191,002405,002405.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2192,002407,002407.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2193,002463,002463.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2194,300081,300081.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2195,300082,300082.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2196,300083,300083.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2197,601718,601718.SS,상해(후강퉁) 증권거래소,20230331,20230331
2198,002410,002410.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2199,002409,002409.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2200,603893,603893.SS,상해(후강퉁) 증권거래소,20230331,20230331
2201,002411,002411.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2202,300085,300085.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2203,300087,300087.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2204,300088,300088.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2205,002413,002413.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2206,002414,002414.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2207,002416,002416.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2208,002419,002419.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2209,002421,002421.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2210,002423,002423.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2211,002424,002424.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2212,002425,002425.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2213,002426,002426.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2214,002427,002427.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2215,002428,002428.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2216,002432,002432.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2217,002429,002429.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2218,002430,002430.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2219,002431,002431.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2220,002433,002433.SZ,심천(선강퉁) 증권거래소,20230331,20230331
