i,ÄÚµå,»óÇ°¸í,°Å·¡¼Ò,error
44,0RUAL.MM,,,unknown error
68,09636.HK,09636,È«Äá °Å·¡¼Ò,unknown error
127,0600801.SS,,,unknown error
129,0BZ.O,,,unknown error
171,0601326.SS,,,unknown error
252,09930.HK,09930,È«Äá °Å·¡¼Ò,unknown error
313,0MSFT.O,,,unknown error
345,01407.HK,01407,È«Äá °Å·¡¼Ò,unknown error
391,01865.HK,01865,È«Äá °Å·¡¼Ò,unknown error
433,06696.HK,06696,È«Äá °Å·¡¼Ò,unknown error
492,0AMGN.O,,,unknown error
494,02422.HK,02422,È«Äá °Å·¡¼Ò,unknown error
541,0AMAT.O,,,unknown error
571,02442.HK,02442,È«Äá °Å·¡¼Ò,unknown error
575,02487.HK,02487,È«Äá °Å·¡¼Ò,unknown error
577,02152.HK,02152,È«Äá °Å·¡¼Ò,unknown error
600,0601868.SS,,,unknown error
604,02480.HK,02480,È«Äá °Å·¡¼Ò,unknown error
633,02367.HK,02367,È«Äá °Å·¡¼Ò,unknown error
650,02162.HK,02162,È«Äá °Å·¡¼Ò,unknown error
683,02486.HK,02486,È«Äá °Å·¡¼Ò,unknown error
693,06922.HK,06922,È«Äá °Å·¡¼Ò,unknown error
700,0601988.SS,,,unknown error
710,02415.HK,02415,È«Äá °Å·¡¼Ò,unknown error
724,01406.HK,01406,È«Äá °Å·¡¼Ò,unknown error
727,01947.HK,01947,È«Äá °Å·¡¼Ò,unknown error
742,0003816.SZ,,,unknown error
830,02416.HK,02416,È«Äá °Å·¡¼Ò,unknown error
849,06660.HK,06660,È«Äá °Å·¡¼Ò,unknown error
856,02457.HK,02457,È«Äá °Å·¡¼Ò,unknown error
859,0601658.SS,,,unknown error
860,06979.HK,06979,È«Äá °Å·¡¼Ò,unknown error
870,03611.HK,03611,È«Äá °Å·¡¼Ò,unknown error
874,0600941.SS,,,unknown error
876,02172.HK,02172,È«Äá °Å·¡¼Ò,unknown error
913,02440.HK,02440,È«Äá °Å·¡¼Ò,unknown error
915,0CSCO.O,,,unknown error
916,0INTC.O,PSA PR M,´º¿å °Å·¡¼Ò,unknown error
917,0SBUX.O,,,unknown error
918,0STAN.L,,,unknown error
1092,08032.HK,,,unknown error
1175,0PRU.L,,,unknown error
1209,0MFC.TO,,,unknown error
1364,0601398.SS,,,unknown error
1410,0CEWL.SI,,,unknown error
1492,0CNCL.SI,,,unknown error
1739,0BIDU.O,,,unknown error
1868,0HCM.L,,,unknown error
1899,0688187.SS,,,unknown error
1911,0601318.SS,,,unknown error
