i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
1,08013,08013.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2,00011,00011.HK,È«Äá °Å·¡¼Ò,20221231,20221231
3,01571,01571.HK,È«Äá °Å·¡¼Ò,20221231,20221231
4,01758,01758.HK,È«Äá °Å·¡¼Ò,20230228,20230228
5,00994,00994.HK,È«Äá °Å·¡¼Ò,20221231,20221231
6,09963,09963.HK,È«Äá °Å·¡¼Ò,20221231,20221231
7,00910,00910.HK,È«Äá °Å·¡¼Ò,20221231,20221231
8,08428,08428.HK,È«Äá °Å·¡¼Ò,20221231,20221231
9,08309,08309.HK,È«Äá °Å·¡¼Ò,20221231,20221231
10,08385,08385.HK,È«Äá °Å·¡¼Ò,20230331,20230331
11,00876,00876.HK,È«Äá °Å·¡¼Ò,20221231,20221231
12,03983,03983.HK,È«Äá °Å·¡¼Ò,20221231,20221231
13,08481,08481.HK,È«Äá °Å·¡¼Ò,20230331,20230331
14,03990,03990.HK,È«Äá °Å·¡¼Ò,20221231,20221231
15,03395,03395.HK,È«Äá °Å·¡¼Ò,20230331,20230331
16,01741,01741.HK,È«Äá °Å·¡¼Ò,20230331,20230331
17,01702,01702.HK,È«Äá °Å·¡¼Ò,20221231,20221231
18,08413,08413.HK,È«Äá °Å·¡¼Ò,20221231,20221231
19,00301,00301.HK,È«Äá °Å·¡¼Ò,20221231,20221231
20,08472,08472.HK,È«Äá °Å·¡¼Ò,20230331,20230331
21,01417,01417.HK,È«Äá °Å·¡¼Ò,20221231,20221231
22,08423,08423.HK,È«Äá °Å·¡¼Ò,20230331,20230331
23,08462,08462.HK,È«Äá °Å·¡¼Ò,20230331,20230331
24,01932,01932.HK,È«Äá °Å·¡¼Ò,20221231,20221231
25,01749,01749.HK,È«Äá °Å·¡¼Ò,20221231,20221231
26,08446,08446.HK,È«Äá °Å·¡¼Ò,20230331,20230331
27,00698,00698.HK,È«Äá °Å·¡¼Ò,20221231,20221231
28,01850,01850.HK,È«Äá °Å·¡¼Ò,20221031,20221031
29,01933,01933.HK,È«Äá °Å·¡¼Ò,20230331,20230331
30,02262,02262.HK,È«Äá °Å·¡¼Ò,20221231,20221231
31,08427,08427.HK,È«Äá °Å·¡¼Ò,20230228,20230228
32,01410,01410.HK,È«Äá °Å·¡¼Ò,20230331,20230331
34,01827,01827.HK,È«Äá °Å·¡¼Ò,20220930,20220930
35,08395,08395.HK,È«Äá °Å·¡¼Ò,20230331,20230331
36,02159,02159.HK,È«Äá °Å·¡¼Ò,20221231,20221231
