i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
0,08460.HK,08460,È«Äá °Å·¡¼Ò,20230331,No_Fin
33,01536,01536.HK,È«Äá °Å·¡¼Ò,20220930,20230331
43,08537,08537.HK,È«Äá °Å·¡¼Ò,20221231,20230331
65,08347,08347.HK,È«Äá °Å·¡¼Ò,20221231,20230331
87,08526,08526.HK,È«Äá °Å·¡¼Ò,20230331,20221231
115,06080,06080.HK,È«Äá °Å·¡¼Ò,20220930,20230331
118,01783,01783.HK,È«Äá °Å·¡¼Ò,20220930,20230331
120,08392,08392.HK,È«Äá °Å·¡¼Ò,20221231,20230331
138,08371,08371.HK,È«Äá °Å·¡¼Ò,20221231,20230331
140,01682,01682.HK,È«Äá °Å·¡¼Ò,20220930,20230331
174,01621,01621.HK,È«Äá °Å·¡¼Ò,20220930,20230331
220,08241,08241.HK,È«Äá °Å·¡¼Ò,20221231,20230331
333,00270,00270.HK,È«Äá °Å·¡¼Ò,20221231,20230331
561,08147,08147.HK,È«Äá °Å·¡¼Ò,20230331,20221231
732,02347,02347.HK,È«Äá °Å·¡¼Ò,20220930,20230331
805,03938,03938.HK,È«Äá °Å·¡¼Ò,20220930,20230331
827,08080,08080.HK,È«Äá °Å·¡¼Ò,20221231,20230331
844,09901,09901.HK,È«Äá °Å·¡¼Ò,20221130,20230228
938,09983,09983.T,È«Äá °Å·¡¼Ò,20230228,20221231
972,00137,00137.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1121,01065,01065.HK,È«Äá °Å·¡¼Ò,20210630,20220630
1130,00163,00163.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1186,00280,00280.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1376,08009,08009.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1446,00595,00595.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1537,00335,00335.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1549,00296,00296.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1566,08060,08060.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1685,08206,08206.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1698,00895,00895.HK,È«Äá °Å·¡¼Ò,20210930,20211231
1731,01140,01140.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1734,08047,08047.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1764,01547,01547.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1923,01382,01382.HK,È«Äá °Å·¡¼Ò,20220930,20230331
1936,03331,03331.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1965,00285,00285.HK,È«Äá °Å·¡¼Ò,20221231,20230331
1990,08132,08132.HK,È«Äá °Å·¡¼Ò,20221231,20230331
