i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2000,00195,00195.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2001,00852,00852.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2002,00750,00750.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2003,00794,00794.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2004,03939,03939.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2005,00841,00841.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2006,01008,01008.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2007,00886,00886.HK,È«Äá °Å·¡¼Ò,20210930,20210930
2008,00215,00215.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2009,01361,01361.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2010,00866,00866.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2011,08067,08067.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2012,01338,01338.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2013,00090,00090.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2014,00399,00399.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2015,02009,02009.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2016,02288,02288.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2017,00072,00072.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2018,08296,08296.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2019,01234,01234.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2020,01668,01668.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2021,01618,01618.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2022,00845,00845.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2023,00893,00893.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2025,01238,01238.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2026,01069,01069.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2027,00829,00829.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2029,00591,00591.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2030,00906,00906.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2031,00389,00389.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2032,00960,00960.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2033,01777,01777.HK,È«Äá °Å·¡¼Ò,20210630,20210630
2034,00631,00631.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2035,01988,01988.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2036,01928,01928.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2037,00465,00465.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2038,01638,01638.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2039,00916,00916.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2040,01866,01866.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2041,01822,01822.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2042,01929,01929.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2043,00947,00947.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2044,01918,01918.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2045,01080,01080.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2046,01823,01823.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2047,00837,00837.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2048,02601,02601.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2049,01841,01841.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2050,00953,00953.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2051,01966,01966.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2052,01863,01863.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2053,01878,01878.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2054,01280,01280.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2055,00881,00881.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2056,00830,00830.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2057,01999,01999.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2058,00923,00923.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2059,00936,00936.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2060,01231,01231.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2061,01555,01555.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2062,00973,00973.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2063,00503,00503.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2064,01972,01972.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2065,02222,02222.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2066,02208,02208.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2067,01282,01282.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2068,02128,02128.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2069,08295,08295.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2070,06963,06963.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2071,02238,02238.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2072,00951,00951.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2073,01020,01020.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2074,01788,01788.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2075,00976,00976.HK,È«Äá °Å·¡¼Ò,20221231,20221231
