i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2024,01128,01128.HK,È«Äá °Å·¡¼Ò,20221231,20230331
2115,01323,01323.HK,È«Äá °Å·¡¼Ò,20220930,20230331
2126,08098,08098.HK,È«Äá °Å·¡¼Ò,20221231,20230331
2197,06116,06116.HK,È«Äá °Å·¡¼Ò,20220331,20221231
2271,08218,08218.HK,È«Äá °Å·¡¼Ò,20221231,20230331
2354,08237,08237.HK,È«Äá °Å·¡¼Ò,20220930,20230331
2356,08162,08162.HK,È«Äá °Å·¡¼Ò,20230331,20221231
2368,08222,08222.HK,È«Äá °Å·¡¼Ò,20221231,20230331
2370,03822,03822.HK,È«Äá °Å·¡¼Ò,20220930,20230331
2413,01500,01500.HK,È«Äá °Å·¡¼Ò,20220930,20230331
2502,03728,03728.HK,È«Äá °Å·¡¼Ò,20220930,20230331
2522,01982,01982.HK,È«Äá °Å·¡¼Ò,20220930,20230331
2561,08023,08023.HK,È«Äá °Å·¡¼Ò,20221231,20230331
2565,08062,08062.HK,È«Äá °Å·¡¼Ò,20221231,20230331
