i,이름, 코드, 거래소, koscom_day, naver_day
0,6537,6537.T,도쿄 거래소,20230331,20230331
1,9282,9282.T,도쿄 거래소,20221231,20221231
2,4426,4426.T,도쿄 거래소,20230331,20230331
3,3550,3550.T,도쿄 거래소,20230228,20230228
4,3967,3967.T,도쿄 거래소,20230228,20230228
5,5704,5704.T,도쿄 거래소,20230331,20230331
6,4596,4596.T,도쿄 거래소,20230331,20230331
7,4317,4317.T,도쿄 거래소,20221130,20221130
8,7191,7191.T,도쿄 거래소,20230331,20230331
9,6538,6538.T,도쿄 거래소,20230331,20230331
10,6539,6539.T,도쿄 거래소,20230331,20230331
11,3476,3476.T,도쿄 거래소,20230430,20230430
12,3176,3176.T,도쿄 거래소,20230331,20230331
13,7782,7782.T,도쿄 거래소,20230331,20230331
14,7192,7192.T,도쿄 거래소,20230331,20230331
15,6203,6203.T,도쿄 거래소,20230331,20230331
16,6540,6540.T,도쿄 거래소,20230331,20230331
17,3968,3968.T,도쿄 거래소,20230331,20230331
18,3556,3556.T,도쿄 거래소,20230331,20230331
19,3477,3477.T,도쿄 거래소,20230331,20230331
20,3970,3970.T,도쿄 거래소,20230331,20230331
21,3969,3969.T,도쿄 거래소,20230331,20230331
22,3974,3974.T,도쿄 거래소,20230430,20230430
23,6542,6542.T,도쿄 거래소,20230331,20230331
24,4421,4421.T,도쿄 거래소,20230331,20230331
25,3497,3497.T,도쿄 거래소,20230430,20230430
26,5240,5240.T,도쿄 거래소,20230331,20230331
27,3976,3976.T,도쿄 거래소,20230430,20230430
28,1439,1439.T,도쿄 거래소,20230331,20230331
29,4422,4422.T,도쿄 거래소,20230430,20230430
30,6543,6543.T,도쿄 거래소,20230228,20230228
31,3557,3557.T,도쿄 거래소,20230228,20230228
32,9519,9519.T,도쿄 거래소,20230331,20230331
33,6247,6247.T,도쿄 거래소,20230331,20230331
34,1440,1440.T,도쿄 거래소,20230131,20230131
35,3558,3558.T,도쿄 거래소,20230228,20230228
36,3559,3559.T,도쿄 거래소,20230331,20230331
37,3978,3978.T,도쿄 거래소,20230331,20230331
38,9325,9325.T,도쿄 거래소,20230331,20230331
39,5480,5480.T,도쿄 거래소,20230331,20230331
40,3981,3981.T,도쿄 거래소,20230331,20230331
41,3979,3979.T,도쿄 거래소,20230331,20230331
42,3560,3560.T,도쿄 거래소,20230228,20230228
43,4881,4881.T,도쿄 거래소,20230331,20230331
44,6544,6544.T,도쿄 거래소,20230331,20230331
45,6545,6545.T,도쿄 거래소,20230331,20230331
46,3561,3561.T,도쿄 거래소,20230331,20230331
47,7105,7105.T,도쿄 거래소,20230331,20230331
48,6546,6546.T,도쿄 거래소,20230331,20230331
49,6547,6547.T,도쿄 거래소,20230331,20230331
50,3983,3983.T,도쿄 거래소,20230331,20230331
51,4597,4597.T,도쿄 거래소,20230331,20230331
52,7042,7042.T,도쿄 거래소,20230331,20230331
53,3562,3562.T,도쿄 거래소,20230228,20230228
54,6694,6694.T,도쿄 거래소,20230331,20230331
55,3563,3563.T,도쿄 거래소,20230331,20230331
56,3984,3984.T,도쿄 거래소,20230331,20230331
57,3985,3985.T,도쿄 거래소,20230331,20230331
58,6548,6548.T,도쿄 거래소,20230331,20230331
59,3565,3565.T,도쿄 거래소,20230430,20230430
60,3986,3986.T,도쿄 거래소,20230331,20230331
61,6549,6549.T,도쿄 거래소,20230331,20230331
62,3987,3987.T,도쿄 거래소,20230228,20230228
63,6550,6550.T,도쿄 거래소,20230331,20230331
64,9787,9787.T,도쿄 거래소,20230228,20230228
65,6551,6551.T,도쿄 거래소,20230331,20230331
66,3988,3988.T,도쿄 거래소,20230430,20230430
67,6552,6552.T,도쿄 거래소,20230228,20230228
68,6695,6695.T,도쿄 거래소,20230430,20230430
69,3566,3566.T,도쿄 거래소,20230331,20230331
70,7810,7810.T,도쿄 거래소,20230430,20230430
