i,이름, 코드, 거래소, koscom_day, naver_day
2000,9367,9367.T,도쿄 거래소,20230331,20230331
2001,1815,1815.T,도쿄 거래소,20230331,20230331
2002,3880,3880.T,도쿄 거래소,20230331,20230331
2003,8383,8383.T,도쿄 거래소,20230331,20230331
2004,3947,3947.T,도쿄 거래소,20230331,20230331
2005,5951,5951.T,도쿄 거래소,20230331,20230331
2006,8522,8522.T,도쿄 거래소,20230331,20230331
2007,8563,8563.T,도쿄 거래소,20230331,20230331
2008,6848,6848.T,도쿄 거래소,20230331,20230331
2009,6138,6138.T,도쿄 거래소,20230331,20230331
2010,2317,2317.T,도쿄 거래소,20230331,20230331
2011,6365,6365.T,도쿄 거래소,20230331,20230331
2012,8337,8337.T,도쿄 거래소,20230331,20230331
2013,8562,8562.T,도쿄 거래소,20230331,20230331
2014,7462,7462.T,도쿄 거래소,20230331,20230331
2015,9082,9082.T,도쿄 거래소,20230331,20230331
2016,2884,2884.T,도쿄 거래소,20230228,20230228
2017,2730,2730.T,도쿄 거래소,20230331,20230331
2018,9740,9740.T,도쿄 거래소,20230228,20230228
2019,6343,6343.T,도쿄 거래소,20230331,20230331
2020,2224,2224.T,도쿄 거래소,20230331,20230331
2021,4611,4611.T,도쿄 거래소,20230331,20230331
2022,5187,5187.T,도쿄 거래소,20230331,20230331
2023,7265,7265.T,도쿄 거래소,20230430,20230430
2024,9876,9876.T,도쿄 거래소,20230228,20230228
2025,1813,1813.T,도쿄 거래소,20230331,20230331
2026,1814,1814.T,도쿄 거래소,20230331,20230331
2027,9684,9684.T,도쿄 거래소,20230331,20230331
2028,6312,6312.T,도쿄 거래소,20230228,20230228
2029,1890,1890.T,도쿄 거래소,20230331,20230331
2030,8209,8209.T,도쿄 거래소,20230331,20230331
2031,9857,9857.T,도쿄 거래소,20230331,20230331
2032,1888,1888.T,도쿄 거래소,20230331,20230331
2033,1822,1822.T,도쿄 거래소,20230331,20230331
2034,5610,5610.T,도쿄 거래소,20230331,20230331
2035,6023,6023.T,도쿄 거래소,20230331,20230331
2036,8746,8746.T,도쿄 거래소,20230331,20230331
2037,3205,3205.T,도쿄 거래소,20230331,20230331
2038,6218,6218.T,도쿄 거래소,20230331,20230331
2039,2112,2112.T,도쿄 거래소,20230331,20230331
2040,4657,4657.T,도쿄 거래소,20230331,20230331
2041,5992,5992.T,도쿄 거래소,20230331,20230331
2042,9319,9319.T,도쿄 거래소,20230331,20230331
2043,9476,9476.T,도쿄 거래소,20230331,20230331
2044,3521,3521.T,도쿄 거래소,20230331,20230331
2045,2215,2215.T,도쿄 거래소,20230331,20230331
2046,6870,6870.T,도쿄 거래소,20230331,20230331
2047,6955,6955.T,도쿄 거래소,20230331,20230331
2048,1945,1945.T,도쿄 거래소,20230331,20230331
2049,9979,9979.T,도쿄 거래소,20230228,20230228
2050,1882,1882.T,도쿄 거래소,20230331,20230331
2051,6373,6373.T,도쿄 거래소,20230331,20230331
2052,6627,6627.T,도쿄 거래소,20230331,20230331
2053,2816,2816.T,도쿄 거래소,20230331,20230331
2054,4046,4046.T,도쿄 거래소,20230331,20230331
