i,이름, 코드, 거래소, koscom_day, naver_day
2049,Flaherty & Crumrine Dynamic Pfd and Inc Fd,FDAN.O,뉴욕 거래소,20220630,20221130
2269,가토스 실버,GATO.K,뉴욕 거래소,20220930,20230331
2311,Aspen Aerogels Inc,GELS.O,뉴욕 거래소,20220331,20230331
2403,젠피트 ADR,GNFT.O,나스닥 증권거래소,20221231,20230331
2424,고고,GOGO.O,나스닥 증권거래소,20230331,20221231
2427,바릭골드,GOLD.TO,뉴욕 거래소,20230228,20230331
2469,골드 로열티,GROY.K,아멕스 증권거래소,20221231,20230331
2591,하이 타이드,HITI.V,나스닥 증권거래소,20230131,20230430
2595,하이텍 글로벌,HKIT.O,나스닥 증권거래소,20221231,20191231
2597,허벌라이프,HLF,뉴욕 거래소,20230331,20221231
2669,헬리우스 메디컬 테크놀로지스,HSDT.O,나스닥 증권거래소,20221231,20230331
2688,퓨전 퓨얼 그린,HTOO.O,나스닥 증권거래소,20221231,20201231
2731,IAU.TO,iShares Gold Trust,아멕스 증권거래소,20230331,No_Fin
2784,인터내셔널 제네럴 인슈런스 홀딩스,IGIC.O,나스닥 증권거래소,20221231,20230331
2860,INR.AX,INR,환전고시환율,20221231,No_Fin
2864,인스메드,INSM.O,나스닥 증권거래소,20230331,20221231
2872,Dong A Paint JSC,INTJ.O,하노이 거래소,20221130,20230331
2899,이네이트 파르마 ADR,IPHA.O,나스닥 증권거래소,20221231,20230331
2968,Rivernorth Opportunities Fd Perpetual Pref Shs Series A,IVP.O,뉴욕 거래소,20221231,20230131
2970,인벤트러스트 프로퍼티스,IVT,뉴욕 거래소,20230331,20221231
3016,존슨앤드존슨,JNJ,뉴욕 거래소,20230402,20230403
3089,KLS.TO,KLSE,해외지수,20230331,No_Fin
3101,KNOT Offshore Partners Common Units,KNOP.K,뉴욕 거래소,20221231,20230331
3121,카료팜 테라퓨틱스,KPTI.O,나스닥 증권거래소,20230331,20221231
3122,크로거,KR,뉴욕 거래소,20230128,20230520
3208,중부발전부동산,LEC.O,호치민 거래소,20221231,20230331
3216,레나 Class A,LEN,뉴욕 거래소,20230228,20230531
3218,레슬리즈,LESL.O,나스닥 증권거래소,20230401,20221231
3245,리 오토 ADR,LI.V,나스닥 증권거래소,20230228,20230331
3258,린드블라드 익스퍼디션스 홀딩스,LIND.O,나스닥 증권거래소,20230331,20221231
3294,Avalon Globocare Corp,LOBO.O,나스닥 증권거래소,20220630,20230331
3339,리버티 트립어드바이저 홀딩스 시리즈 A,LTRPA.O,나스닥 증권거래소,20230331,20221231
3341,로터리닷컴,LTRY.O,나스닥 증권거래소,20220930,20221231
3371,로이즈 뱅킹 그룹 ADR,LYG,뉴욕 거래소,20221231,20230331
3373,리투스 테크놀로지스 홀딩스,LYT.O,나스닥 증권거래소,20220331,20210331
3406,Pioneer Municipal High Income Advantage Fund Inc,MAV,뉴욕 거래소,20210930,20220331
3456,PetroVietnam Drilling & Well Service Corp,MDRI.O,호치민 거래소,20220930,20230331
3462,메다배일 홀딩스,MDVL.O,나스닥 증권거래소,20221231,20230331
3465,미메드엑스 그룹,MDXG.O,나스닥 증권거래소,20230331,20221231
3466,엠디엑스헬스 ADR,MDXH.O,나스닥 증권거래소,20221231,20230331
3478,Utime Ltd,MELT.O,나스닥 증권거래소,20220630,20220930
3633,메레오 바이오파마 그룹 ADR,MREO.O,나스닥 증권거래소,20221231,20201231
3669,매치 그룹,MTCH.O,나스닥 증권거래소,20230331,20221231
3753,나노바이오틱스 ADR,NBTX.O,나스닥 증권거래소,20221231,20230331
3759,노르웨이지안 크루즈 라인 홀딩스,NCLH.K,뉴욕 거래소,20230331,20221231
3767,더나인 ADR,NCTY.O,나스닥 증권거래소,20211231,20221231
3916,인스파이어MD,NSPR.O,아멕스 증권거래소,20230331,20210331
3940,Hennessy Capital Investment VI Units,NTV.O,나스닥 증권거래소,20220630,20230331
3944,NUAG.TO,Nuveen Enhanced Yield US Aggregate Bond ETF,아멕스 증권거래소,20230331,No_Fin
3972,노보 인테그레이티드 사이언스,NVOS.O,나스닥 증권거래소,20220831,20230228
