i,코드,상품명,거래소,error
4018,OAK_pa,,,unknown error
4117,OPHV.O,,,unknown error
4234,PCG_pa,,,unknown error
4377,PMEC.O,,,unknown error
4423,PRA,프로어슈어런스,뉴욕 거래소,unknown error
4437,PRIF_pd.K,,,unknown error
4450,PROQU.O,,,unknown error
4469,PRZO.O,,,unknown error
4474,PSIG.O,,,unknown error
4599,RCIb.TO,,,unknown error
4607,RCPIU.O,,,unknown error
4620,RDXXU.O,,,unknown error
4688,RJF,RIVN,,unknown error
4741,ROTK.O,,,unknown error
4745,RPGL.O,,,unknown error
4772,RVGO.O,,,unknown error
4788,RXDX.O,,,unknown error
4876,SCX,,,unknown error
4889,SEAL_pb.K,,,unknown error
4953,SHLTN.S,,,unknown error
5027,SLRN.O,엑세러린,나스닥 증권거래소,unknown error
5056,SMXT.O,,,unknown error
5116,SPGC.O,,,unknown error
5123,SPLP.K,Steel Partners Holdings Units,뉴욕 거래소,unknown error
5130,SPPPu.TO,,,unknown error
5148,SQRX.O,,,unknown error
5153,SRBK.O,,,unknown error
5204,STHO.O,스타 홀딩스,나스닥 증권거래소,unknown error
5210,STLAM.MI,,,unknown error
5394,THM,인터내셔널 타워 힐 마인스,아멕스 증권거래소,unknown error
5395,THMO.O,써모제네시스 홀딩스,나스닥 증권거래소,unknown error
5463,TOP.O,탑 파이낸셜 그룹,나스닥 증권거래소,unknown error
5498,TRMDa.CO,,,unknown error
5511,TRSG.O,,,unknown error
5679,USSCU.O,,,unknown error
5701,VACXU.O,,,unknown error
5785,VLS.PA,,,unknown error
5855,VUSOU.O,,,unknown error
5858,VVID.O,,,unknown error
5887,WBUY.O,,,unknown error
5896,WDI,Western Asset Diversified Income Fund,뉴욕 거래소,unknown error
5967,WPAU.O,,,unknown error
6057,YBZN.O,,,unknown error
