i,이름, 코드, 거래소, koscom_day, naver_day
4011,나이목스 파마슈티컬,NYMX.O,나스닥 증권거래소,20221231,20230331
4022,오블롱,OBLG.O,아멕스 증권거래소,20230331,20200930
4028,애스터 헬스케어 애퀴지션,OCEA.O,나스닥 증권거래소,20221231,20230331
4061,오비탈 인프라스트럭처 그룹,OIG.O,나스닥 증권거래소,20221231,20230331
4092,ONCR.O,Global X Carbon Credits Strategy ETF,아멕스 증권거래소,20230331,No_Fin
4131,오랑주 ADR,ORAN.K,뉴욕 거래소,20221231,20230331
4163,오토노모 테크놀로지스,OTMO.O,나스닥 증권거래소,20221231,20230331
4183,Autozone Inc,OZON.O,뉴욕 거래소,20230331,20230506
4271,Adams Natural Resources Fund, Inc.,PEO,뉴욕 거래소,20221231,20230331
4364,플레이티카 홀딩,PLTK.O,나스닥 증권거래소,20230331,20221231
4446,PRN.TO,Invesco DWA Industrials Momentum ETF,나스닥 증권거래소,20230331,No_Fin
4447,프로스 홀딩스,PRO,뉴욕 거래소,20230331,20221231
4479,폴스타 오토모티브 홀딩 UK ADR,PSNY.O,나스닥 증권거래소,20221231,20230331
4531,파파 존스 인터내셔널,PZZA.O,나스닥 증권거래소,20230326,20221225
4542,QHI.O,IQ MacKay ESG High Income ETF,아멕스 증권거래소,20220630,No_Fin
4614,레딩 인터내셔널 Class A,RDI.O,나스닥 증권거래소,20221231,20230331
4670,레지스,RGS,뉴욕 거래소,20230331,20221231
4681,리겔 파마슈티컬스,RIGL.O,나스닥 증권거래소,20230331,20221231
4713,리미니 스트리트,RMNI.O,나스닥 증권거래소,20230331,20221231
4767,렌토킬 이니셜 ADR,RTO,뉴욕 거래소,20221231,20230331
4852,스타벅스,SBUX.O,나스닥 증권거래소,20230402,20230101
4905,세네카 푸즈 Class A,SENEA.O,나스닥 증권거래소,20221231,20230331
4973,SIL.TO,Global X Silver Miners ETF,아멕스 증권거래소,20230331,No_Fin
5005,소셜 레버리지 애퀴지션 I Class A,SLAC.O,뉴욕 거래소,20230331,20220930
5094,에메렌 그룹,SOL,뉴욕 거래소,20221231,20230331
5129,SP Plus Corp,SPPL.O,나스닥 증권거래소,20221231,20230331
5131,스피리트 에어로시스템즈 홀딩스,SPR,뉴욕 거래소,20230330,20221231
5133,사이스파크,SPRC.O,나스닥 증권거래소,20221231,20181231
5142,SPX 테크놀로지스,SPXC.K,뉴욕 거래소,20221231,20230401
5176,사솔 ADR,SSL.TO,뉴욕 거래소,20230331,20221231
5190,스태핑 360 솔루션스,STAF.O,나스닥 증권거래소,20221231,20230102
5262,CSW Industrials Inc,SWIN.O,나스닥 증권거래소,20220930,20230331
5274,차이나 SXT 파마슈티컬스,SXTC.O,나스닥 증권거래소,20220331,20220930
5376,트랜스폼 테크놀로지,TGAN.O,나스닥 증권거래소,20220930,20221231
5388,타겟 호스피탈리티,TH.TO,나스닥 증권거래소,20230228,20230331
5429,텔콤 인도네시아 ADR,TLK,뉴욕 거래소,20221231,20211231
5580,텍스트론,TXT,뉴욕 거래소,20230401,20230402
5626,유니레버 ADR,UL,뉴욕 거래소,20221231,20230331
5639,유니티 그룹,UNIT.O,나스닥 증권거래소,20230331,20221231
5656,오로라 애퀴지션,URC.V,나스닥 증권거래소,20230131,20230331
5661,Liberty All Star Equity Closed Fund,USA.TO,뉴욕 거래소,20230331,20221231
5662,USA Compression Partners Common Units,USAC.K,뉴욕 거래소,20230331,20221231
5669,유나이티드 마리타임,USEA.O,나스닥 증권거래소,20221231,20230331
5674,USL,United States 12 Month Oil Fund LP,아멕스 증권거래소,20200331,No_Fin
5706,배포덤,VAPO.K,뉴욕 거래소,20230331,20221231
5732,베온 ADR,VEON.O,나스닥 증권거래소,20220630,20221231
5870,웨이페어,W,뉴욕 거래소,20230331,20221231
5900,WEED.TO,Roundhill Cannabis ETF,아멕스 증권거래소,20221231,No_Fin
5927,윙스톱,WING.O,나스닥 증권거래소,20230401,20221231
5970,WPP ADR,WPP,뉴욕 거래소,20221231,20230331
6001,웨이브 라이프 사이언스,WVE.O,나스닥 증권거래소,20230331,20221231
6009,BWX 테크놀로지스,WXT.O,뉴욕 거래소,20211231,20230331
6027,신위안 부동산 ADR,XIN,뉴욕 거래소,20220630,20221231
6049,제록스,XRX.O,뉴욕 거래소,20230331,20210630
6053,22세기 그룹,XXII.O,아멕스 증권거래소,20230331,20210630
6059,옐로우,YELL.O,나스닥 증권거래소,20230331,20221231
6068,SMX (Security Matters) PLC,YMAT.O,나스닥 증권거래소,20220630,20221231
6091,젠비아,ZEN.V,나스닥 증권거래소,20221231,20230331
