i,이름, 코드, 거래소, koscom_day, naver_day
0,PC원 그룹,PC1.HM,호치민 거래소,20230331,20230331
1,동아호텔,DAH.HM,호치민 거래소,20230331,20230331
2,HCD인베스트프로,HCD.HM,호치민 거래소,20230331,20230331
3,티엔탄서비스,TTH.HN,하노이 거래소,20230331,20230331
4,PVI 리인슈어런스,PRE.HN,하노이 거래소,20221231,20221231
5,사이공 맥주,SAB.HM,호치민 거래소,20230331,20230331
6,비나코민 파워 홀딩,DTK.HN,하노이 거래소,20230331,20230331
7,트리세드코,DAT.HM,호치민 거래소,20230331,20230331
8,1168건설,MST.HN,하노이 거래소,20230331,20230331
9,쯔엉탄 부동산개발,TEG.HM,호치민 거래소,20230331,20230331
10,CEO그룹,CEO.HN,하노이 거래소,20230331,20230331
11,짱이세라믹,TFC.HN,하노이 거래소,20230331,20230331
12,노바랜드 투자,NVL.HM,호치민 거래소,20230331,20230331
13,베트남 바카 은행,BAB.HN,하노이 거래소,20230331,20230331
15,비나코민 비엣박 광업지주,MVB.HN,하노이 거래소,20230331,20230331
16,통낫,BAX.HN,하노이 거래소,20230331,20230331
17,지아 띤 워터,GDW.HN,하노이 거래소,20230331,20230331
18,빈딘제약,DBD.HM,호치민 거래소,20230331,20230331
19,밀리터리 인슈어런스,MIG.HM,호치민 거래소,20230331,20230331
20,퍼시픽 페트롤리엄 트랜스포테이션,PVP.HM,호치민 거래소,20230331,20230331
21,베트남 국제공동주식상업은행,VIB.HM,호치민 거래소,20230331,20230331
22,베트남산림공사,VIF.HN,하노이 거래소,20230331,20230331
23,시암브라더스,SBV.HM,호치민 거래소,20230331,20230331
24,다트 푸옹 그룹,DPG.HM,호치민 거래소,20230331,20230331
25,젤렉스 그룹,GEX.HM,호치민 거래소,20230331,20230331
26,지아 라이 전기,GEG.HM,호치민 거래소,20230331,20230331
27,에버랜드,EVG.HM,호치민 거래소,20230331,20230331
28,남부가스,PGS.HN,하노이 거래소,20230331,20230331
29,TDG 글로벌 인베스트먼트,TDG.HM,호치민 거래소,20230331,20230331
30,중부발전부동산,LEC.HM,호치민 거래소,20230331,20230331
31,박칸광업,BKC.HN,하노이 거래소,20230331,20230331
32,팟엔바이광물플라스틱,HII.HM,호치민 거래소,20230331,20230331
33,씨티포트자동차,CTF.HM,호치민 거래소,20230331,20230331
34,썬스타인베스트먼트,SJF.HM,호치민 거래소,20221231,20221231
