i,코드,상품명,거래소,error
351,002310.SZ,002310,코스피,unknown error
383,003000.SZ,003000,코스피,unknown error
550,002990.SZ,002990,코스피,unknown error
554,301051.SZ,301051,심천(선강퉁) 증권거래소,unknown error
628,002320.SZ,002320,코스피,unknown error
732,001270.SZ,001270,코스피,unknown error
752,000725.SZ,000725,코스피,unknown error
827,000720.SZ,000720,코스피,unknown error
908,000540.SZ,000540,코스피,unknown error
923,000157.SZ,000157,코스피,unknown error
925,0981.HK,마이크로컨텍솔,코스닥,Timeout
961,000970.SZ,000970,코스피,unknown error
1006,000860.SZ,000860,코스피,unknown error
1012,000100.SZ,000100,코스피,unknown error
1044,000850.SZ,000850,코스피,unknown error
1058,002020.SZ,002020,코스피,unknown error
1180,000400.SZ,000400,코스피,unknown error
1199,600110.SS,,,unknown error
1253,000050.SZ,000050,코스피,unknown error
1279,000990.SZ,000990,코스피,unknown error
1287,002030.SZ,002030,코스피,unknown error
1337,002025.SZ,002025,코스피,unknown error
1348,000910.SZ,000910,코스피,unknown error
1352,000155.SZ,000155,코스피,unknown error
1389,000700.SZ,000700,코스피,unknown error
1441,000680.SZ,000680,코스피,unknown error
1534,000040.SZ,000040,코스피,unknown error
1535,000070.SZ,000070,코스피,unknown error
1627,000670.SZ,000670,코스피,unknown error
1658,000950.SZ,000950,코스피,unknown error
1686,600781.SS,,,unknown error
1687,600532.SS,,,unknown error
1715,000547.SZ,000547,코스피,unknown error
1733,000815.SZ,000815,코스피,unknown error
1746,300080.SZ,300080,코스닥,unknown error
1783,000650.SZ,000650,코스피,unknown error
1806,000885.SZ,000885,코스피,unknown error
1809,000810.SZ,000810,코스피,unknown error
1875,002100.SZ,002100,코스피,unknown error
1919,002140.SZ,002140,코스피,unknown error
1929,002150.SZ,002150,코스피,unknown error
1945,002170.SZ,002170,코스피,unknown error
1979,002210.SZ,002210,코스피,unknown error
