i,이름, 코드, 거래소, koscom_day, naver_day
0,688733,688733.SS,상해(후강퉁) 증권거래소,20230331,20230331
1,300726,300726.SZ,심천(선강퉁) 증권거래소,20230331,20230331
2,300705,300705.SZ,심천(선강퉁) 증권거래소,20230331,20230331
3,603012,603012.SS,상해(후강퉁) 증권거래소,20230331,20230331
4,002958,002958.SZ,심천(선강퉁) 증권거래소,20230331,20230331
5,000036,000036.SZ,심천(선강퉁) 증권거래소,20230331,20230331
6,300827,300827.SZ,심천(선강퉁) 증권거래소,20230331,20230331
9,300777,300777.SZ,심천(선강퉁) 증권거래소,20230331,20230331
10,301215,301215.SZ,심천(선강퉁) 증권거래소,20230331,20230331
11,301206,301206.SZ,심천(선강퉁) 증권거래소,20230331,20230331
12,002929,002929.SZ,심천(선강퉁) 증권거래소,20230331,20230331
13,688357,688357.SS,상해(후강퉁) 증권거래소,20230331,20230331
14,688122,688122.SS,상해(후강퉁) 증권거래소,20230331,20230331
15,603105,603105.SS,상해(후강퉁) 증권거래소,20230331,20230331
16,301168,301168.SZ,심천(선강퉁) 증권거래소,20230331,20230331
17,300776,300776.SZ,심천(선강퉁) 증권거래소,20230331,20230331
18,688076,688076.SS,상해(후강퉁) 증권거래소,20230331,20230331
19,688390,688390.SS,상해(후강퉁) 증권거래소,20230331,20230331
20,688676,688676.SS,상해(후강퉁) 증권거래소,20230331,20230331
21,300763,300763.SZ,심천(선강퉁) 증권거래소,20230331,20230331
22,688026,688026.SS,상해(후강퉁) 증권거래소,20230331,20230331
23,601528,601528.SS,상해(후강퉁) 증권거래소,20230331,20230331
24,688518,688518.SS,상해(후강퉁) 증권거래소,20230331,20230331
25,301152,301152.SZ,심천(선강퉁) 증권거래소,20230331,20230331
26,688276,688276.SS,상해(후강퉁) 증권거래소,20230331,20230331
27,002966,002966.SZ,심천(선강퉁) 증권거래소,20230331,20230331
28,600135,600135.SS,상해(후강퉁) 증권거래소,20230331,20230331
29,603676,603676.SS,상해(후강퉁) 증권거래소,20230331,20230331
30,300674,300674.SZ,심천(선강퉁) 증권거래소,20230331,20230331
31,600510,600510.SS,상해(후강퉁) 증권거래소,20230331,20230331
32,300737,300737.SZ,심천(선강퉁) 증권거래소,20230331,20230331
33,603429,603429.SS,상해(후강퉁) 증권거래소,20230331,20230331
34,601860,601860.SS,상해(후강퉁) 증권거래소,20230331,20230331
35,688269,688269.SS,상해(후강퉁) 증권거래소,20230331,20230331
36,688550,688550.SS,상해(후강퉁) 증권거래소,20230331,20230331
38,601939,601939.SS,상해(후강퉁) 증권거래소,20230331,20230331
39,601880,601880.SS,상해(후강퉁) 증권거래소,20230331,20230331
40,688556,688556.SS,상해(후강퉁) 증권거래소,20230331,20230331
41,300604,300604.SZ,심천(선강퉁) 증권거래소,20230331,20230331
42,300809,300809.SZ,심천(선강퉁) 증권거래소,20230331,20230331
43,300799,300799.SZ,심천(선강퉁) 증권거래소,20230331,20230331
44,301017,301017.SZ,심천(선강퉁) 증권거래소,20230331,20230331
45,600903,600903.SS,상해(후강퉁) 증권거래소,20230331,20230331
46,002943,002943.SZ,심천(선강퉁) 증권거래소,20230331,20230331
47,003035,003035.SZ,심천(선강퉁) 증권거래소,20230331,20230331
49,603871,603871.SS,상해(후강퉁) 증권거래소,20230331,20230331
50,603712,603712.SS,상해(후강퉁) 증권거래소,20230331,20230331
51,300718,300718.SZ,심천(선강퉁) 증권거래소,20230331,20230331
52,601375,601375.SS,상해(후강퉁) 증권거래소,20230331,20230331
53,000825,000825.SZ,심천(선강퉁) 증권거래소,20230331,20230331
54,601609,601609.SS,상해(후강퉁) 증권거래소,20230331,20230331
55,300829,300829.SZ,심천(선강퉁) 증권거래소,20230331,20230331
56,600928,600928.SS,상해(후강퉁) 증권거래소,20230331,20230331
57,603565,603565.SS,상해(후강퉁) 증권거래소,20230331,20230331
58,300603,300603.SZ,심천(선강퉁) 증권거래소,20230331,20230331
59,002916,002916.SZ,심천(선강퉁) 증권거래소,20230331,20230331
60,603956,603956.SS,상해(후강퉁) 증권거래소,20230331,20230331
61,601881,601881.SS,상해(후강퉁) 증권거래소,20230331,20230331
62,300634,300634.SZ,심천(선강퉁) 증권거래소,20230331,20230331
63,603379,603379.SS,상해(후강퉁) 증권거래소,20230331,20230331
64,300722,300722.SZ,심천(선강퉁) 증권거래소,20230331,20230331
65,002928,002928.SZ,심천(선강퉁) 증권거래소,20230331,20230331
66,300735,300735.SZ,심천(선강퉁) 증권거래소,20230331,20230331
67,603486,603486.SS,상해(후강퉁) 증권거래소,20230331,20230331
68,300620,300620.SZ,심천(선강퉁) 증권거래소,20230331,20230331
69,688131,688131.SS,상해(후강퉁) 증권거래소,20230331,20230331
70,000792,000792.SZ,심천(선강퉁) 증권거래소,20230331,20230331
71,603236,603236.SS,상해(후강퉁) 증권거래소,20230331,20230331
72,603297,603297.SS,상해(후강퉁) 증권거래소,20230331,20230331
73,300773,300773.SZ,심천(선강퉁) 증권거래소,20230331,20230331
74,688267,688267.SS,상해(후강퉁) 증권거래소,20230331,20230331
75,688033,688033.SS,상해(후강퉁) 증권거래소,20230331,20230331
76,301302,301302.SZ,심천(선강퉁) 증권거래소,20230331,20230331
77,601990,601990.SS,상해(후강퉁) 증권거래소,20230331,20230331
78,603897,603897.SS,상해(후강퉁) 증권거래소,20230331,20230331
79,000671,000671.SZ,심천(선강퉁) 증권거래소,20230331,20230331
80,603733,603733.SS,상해(후강퉁) 증권거래소,20230331,20230331
81,300725,300725.SZ,심천(선강퉁) 증권거래소,20230331,20230331
82,601200,601200.SS,상해(후강퉁) 증권거래소,20230331,20230331
83,002978,002978.SZ,심천(선강퉁) 증권거래소,20230331,20230331
84,603596,603596.SS,상해(후강퉁) 증권거래소,20230331,20230331
85,603666,603666.SS,상해(후강퉁) 증권거래소,20230331,20230331
86,300774,300774.SZ,심천(선강퉁) 증권거래소,20230331,20230331
87,600158,600158.SS,상해(후강퉁) 증권거래소,20230331,20230331
