i,코드,기업명,내용,
0,A,애질런트 테크놀로지스,애질런트 테크놀로지스Agilent Technologies Inc애질런트 테크놀로지스는 전체 실험실 워크플로우를 위한 계측기 소프트웨어 서비스 및 소모품을 포함하는 애플리케이션 중심 솔루션을 제공하는 기업이다.생명 과학 진단 및 응용 화학 시장에서 사업을 운영하고 있다. 생명 과학 및 응용 시장 비즈니스는 고객이 물질 및 제품의 물리적 생물학적 특성을 식별 정량화 및 분석할 수 있는 계측기 및 소프트웨어를 포함한 응용 분야 중심 솔루션을 제공한다.진단 및 유전체학 사업은 6개의 활동 영역으로 구성되어 있으며 올리고 기반 치료제를 위한 활성 제약 성분과 임상 및 생명과학 연구 분야의 고객이 세포 및 분자 수준에서 샘플을 조사할 수 있는 시약 기기 소프트웨어 및 소모품이 포함된 솔루션을 제공한다.제품 카테고리에는 액체 크로마토그래피 시스템 및 구성 요소와 액체 크로마토그래피 질량 분석 시스템이 포함된다.
1,AA,알코아,알코아Alcoa Corp알코아은 무역 회사이다. 이 회사는 보크사이트 알루미나 알루미늄 제품의 생산에 종사하고 있다.이 회사의 운영은 세 가지 보고 가능한 사업 부문인 보크사이트와 알루미나 알루미늄으로 구성되어 있다.보크사이트 및 알루미나 부문은 주로 Alcoa Corporation과 Alumina Limited 간의 합작 투자회사인 AWAC(Alcoa World Alumina and Chemicals)에서 보유한 일련의 계열사 운영 법인으로 구성되어 있다.알루미늄 부문은 에너지 생산 사업과 더불어 회사의 알루미늄 제련 주조 압연 사업으로 구성되어 있다.보크사이트 부문은 회사의 글로벌 보크사이트 채굴 사업부로 구성된다.이 회사의 알루미나 부문은 보크사이트를 알루미나로 가공하는 회사의 세계적인 정제 시스템으로 구성된다.알루미늄 부문은 브라질 캐나다 미국의 에너지 자산 포트폴리오인 전 세계 제련 및 주조 공장 시스템으로 구성되어 있다.이 회사는 9개국에 28개 이상의 영업소를 가지고 있다.
4,AAC,아레스 애퀴지션,아레스 애퀴지션Ares Acquisition Corp아레스 애퀴지션 Class A는 기업 인수 목적 회사이다. 이 회사는 합병 자본 증권 교환 자산 취득 주식 매입 조직 개편 또는 이와 유사한 사업 조합을 취하기 위해 설립되었다.이 회사는 특정 기업결합 대상을 선택하지 않았다. 이 회사는 모든 산업분야와 지역에서 기업결합 목표를 추구할 수 있다.
5,AAC.U,Ares Acquisition Units,Ares Acquisition UnitsAres Acquisition Units아레스 애퀴지션 Class A는 기업 인수 목적 회사이다. 이 회사는 합병 자본 증권 교환 자산 취득 주식 매입 조직 개편 또는 이와 유사한 사업 조합을 취하기 위해 설립되었다.이 회사는 특정 기업결합 대상을 선택하지 않았다. 이 회사는 모든 산업분야와 지역에서 기업결합 목표를 추구할 수 있다.
6,AACG,ATA 크리에이티비티 글로벌 ADR,ATA 크리에이티비티 글로벌 ADRATA Creativity Global ADRATA 크리에이티비티 글로벌은 주로 국제 교육 서비스를 제공하는 중국 기반 회사이다.이 회사의 주요 사업은 학생들의 창의력 함양 및 향상과 관련된 국제 교육 경험을 제공하는 것이다.이 회사의 주요 제품 및 서비스는 해외 미술 공부에 관심이 있는 중국 학생들에게 제공하는 포트폴리오 교육 서비스이다.
7,AACI,아마다 애퀴지션 I,아마다 애퀴지션 IArmada Acquisition Corp I아마다 애퀴지션 I는 기업인수목적회사이다. 이 회사는 합병 자본 증권 교환 자산 취득 주식 매입 조직 개편 또는 하나 이상의 사업과 유사한 사업 결합을 수행할 목적으로 형성되었다.이 회사는 디지털 온라인 모바일 결제 솔루션 처리 및 게이트웨이 서비스 POS 기술 소비자 참여 플랫폼 전자상거래를 제공하는 금융 서비스 산업(FinTec)에 대상 비즈니스에 집중할 계획이다.이 회사는 운영되지 않으며 어떠한 수익도 창출하지 않는다.
8,AACIU,Armada Acquisition I Units,Armada Acquisition I UnitsArmada Acquisition I Units아마다 애퀴지션 I는 기업인수목적회사이다. 이 회사는 합병 자본 증권 교환 자산 취득 주식 매입 조직 개편 또는 하나 이상의 사업과 유사한 사업 결합을 수행할 목적으로 형성되었다.이 회사는 디지털 온라인 모바일 결제 솔루션 처리 및 게이트웨이 서비스 POS 기술 소비자 참여 플랫폼 전자상거래를 제공하는 금융 서비스 산업(FinTec)에 대상 비즈니스에 집중할 계획이다.이 회사는 운영되지 않으며 어떠한 수익도 창출하지 않는다.
9,AACT,아레스 애퀴지션 II,아레스 애퀴지션 IIAres Acquisition Corporation II아레스 애퀴지션 II은 블랭크 체크 회사다. 이 회사는 기업 인수 목적 회사다.
10,AACT.U,Ares Acquisition Units Class A,Ares Acquisition Units Class AAres Acquisition Units Class A아레스 애퀴지션 II은 블랭크 체크 회사다. 이 회사는 기업 인수 목적 회사다.
11,AADI,아디 바이오사이언스,아디 바이오사이언스Aadi Bioscience Inc아디 바이오사이언스는 임상 단계의 바이오 제약 회사이다. 이 회사는 유전 암에 대한 정밀 치료법 개발에 관여한다. 이 회사는 TSC1 또는 TSC2 유전자 변경과 같은 mTOR 경로 드라이버 변경이 있는 암 환자를 위한 치료법을 개발한다.이 회사의 주요 제품인 FYARROTM은 인간 알부민에 결합된 mTOR 억제제로서 전임상단계에서 다른 mTOR 억제제에 비해 종양 축적 mTOR 표적 억제 및 종양 성장 억제성이 높은것으로 나타났다.이 회사의 FYARROTM 제품은 진행성 혈관주위 상피양 세포 종양(PEComa) 환자를 대상으로한 nab-sirolimus ABI-009에 대한 2상 등록 시험을 진행 중이다.
13,AAIC,알링턴 에셋 인베스트먼트,알링턴 에셋 인베스트먼트Arlington Asset Investment Corp알링턴 에셋 인베스트먼트는 투자회사로 기관(agency) 주택 담보부 증권(MBS)과 프라이빗 레이블(private-label) MBS로 구성된 주택담보대출저당증권의 레버드 포트폴리오(levered portfolio)를 인수 및 보유하는 사업을 한다.기관 MBS의 경우 연방 저당권 협회(Fannie Mae) 연방 주택 금융 저당 회사(Freddie Mac)와 같은 미국 정부 기관이나 정부 후원 기업(GSE)이 원리금 지급을 보증하는 주택 담보 대출 패스스루 증명서를 포함한다.프라이빗 레이블(private-label) MBS 또는 비기관(non-agency) MBS와 같은 경우에는 GSE 또는 미(美)정부가 보증하지 않는 주택담보부증권을 포함한다.이 기업은 주로 단기 금융 계약을 통해 투자 자금을 확보한다. 또한 증권 중개인이나 그와 상응하는 업체를 통해 최초 기업 공개된 또는 유통시장(secondary market)에 상장된 기관 MBS를 매입한다.이 기업은 변동금리 저당대출(ARM) 또는 혼합형 ARM에 의해 담보된 기관 MBS에 투자할 수 있다.
14,AAIC PR B,알링턴 에셋 인베스트먼트 우선주 시리즈 B 7%,알링턴 에셋 인베스트먼트 우선주 시리즈 B 7%Arlington Asset Investment 7 00 Cumulative Perpetual Redeemable Preferred알링턴 에셋 인베스트먼트는 투자회사로 기관(agency) 주택 담보부 증권(MBS)과 프라이빗 레이블(private-label) MBS로 구성된 주택담보대출저당증권의 레버드 포트폴리오(levered portfolio)를 인수 및 보유하는 사업을 한다.기관 MBS의 경우 연방 저당권 협회(Fannie Mae) 연방 주택 금융 저당 회사(Freddie Mac)와 같은 미국 정부 기관이나 정부 후원 기업(GSE)이 원리금 지급을 보증하는 주택 담보 대출 패스스루 증명서를 포함한다.프라이빗 레이블(private-label) MBS 또는 비기관(non-agency) MBS와 같은 경우에는 GSE 또는 미(美)정부가 보증하지 않는 주택담보부증권을 포함한다.이 기업은 주로 단기 금융 계약을 통해 투자 자금을 확보한다. 또한 증권 중개인이나 그와 상응하는 업체를 통해 최초 기업 공개된 또는 유통시장(secondary market)에 상장된 기관 MBS를 매입한다.이 기업은 변동금리 저당대출(ARM) 또는 혼합형 ARM에 의해 담보된 기관 MBS에 투자할 수 있다.
15,AAIC PR C,알링턴 에셋 인베스트먼트 우선주 시리즈 C,알링턴 에셋 인베스트먼트 우선주 시리즈 CArlington Asset Investment 8.250 Cumulative Redeemable Prf Shs Series C알링턴 에셋 인베스트먼트는 투자회사로 기관(agency) 주택 담보부 증권(MBS)과 프라이빗 레이블(private-label) MBS로 구성된 주택담보대출저당증권의 레버드 포트폴리오(levered portfolio)를 인수 및 보유하는 사업을 한다.기관 MBS의 경우 연방 저당권 협회(Fannie Mae) 연방 주택 금융 저당 회사(Freddie Mac)와 같은 미국 정부 기관이나 정부 후원 기업(GSE)이 원리금 지급을 보증하는 주택 담보 대출 패스스루 증명서를 포함한다.프라이빗 레이블(private-label) MBS 또는 비기관(non-agency) MBS와 같은 경우에는 GSE 또는 미(美)정부가 보증하지 않는 주택담보부증권을 포함한다.이 기업은 주로 단기 금융 계약을 통해 투자 자금을 확보한다. 또한 증권 중개인이나 그와 상응하는 업체를 통해 최초 기업 공개된 또는 유통시장(secondary market)에 상장된 기관 MBS를 매입한다.이 기업은 변동금리 저당대출(ARM) 또는 혼합형 ARM에 의해 담보된 기관 MBS에 투자할 수 있다.
16,AAIN,알링턴 에셋 인베스트먼트 선순위 채권 6.000% 만기 2026년,알링턴 에셋 인베스트먼트 선순위 채권 6.000% 만기 2026년Arlington Asset Investment 6 000 Senior Notes Due 2026알링턴 에셋 인베스트먼트는 투자회사로 기관(agency) 주택 담보부 증권(MBS)과 프라이빗 레이블(private-label) MBS로 구성된 주택담보대출저당증권의 레버드 포트폴리오(levered portfolio)를 인수 및 보유하는 사업을 한다.기관 MBS의 경우 연방 저당권 협회(Fannie Mae) 연방 주택 금융 저당 회사(Freddie Mac)와 같은 미국 정부 기관이나 정부 후원 기업(GSE)이 원리금 지급을 보증하는 주택 담보 대출 패스스루 증명서를 포함한다.프라이빗 레이블(private-label) MBS 또는 비기관(non-agency) MBS와 같은 경우에는 GSE 또는 미(美)정부가 보증하지 않는 주택담보부증권을 포함한다.이 기업은 주로 단기 금융 계약을 통해 투자 자금을 확보한다. 또한 증권 중개인이나 그와 상응하는 업체를 통해 최초 기업 공개된 또는 유통시장(secondary market)에 상장된 기관 MBS를 매입한다.이 기업은 변동금리 저당대출(ARM) 또는 혼합형 ARM에 의해 담보된 기관 MBS에 투자할 수 있다.
17,AAL,아메리칸 에어라인스 그룹,아메리칸 에어라인스 그룹American Airlines Group Inc아메리칸 에어라인스 그룹은 지주 회사다. 주요 사업 활동은 네트워크 항공사의 운영이다. 회사는 지역 항공사 자회사 및 타사 지역 항공사와 함께 American Eagle 브랜드로 운영하며 샬럿 시카고 댈러스/포트워스 로스앤젤레스 마이애미 뉴욕 필라델피아 피닉스 워싱턴 컬럼비아 특별구의 허브와 런던 도하 마드리드 시애틀/타코마 시드니 및 도쿄를 포함한 파트너 게이트웨이를 통해 승객 및 화물을 위한 정기 항공 운송 서비스를 제공한다.이 회사의 자회사로는 American Airlines Inc. Envoy Aviation Group Inc. PSA Airlines Inc.및 Piedmont Airlines Inc. 등이 있다. 화물 사업부는 전 세계에 시설과 인터라인 연결을 통해 다양한 화물 및 우편 서비스를 제공한다.이 회사는 지역 항공사 자회사 및 타사 지역 항공사가 지원하는 925대의 메인 노선 항공기를 운영하며 추가로 536대의 지역 항공기를 운항한다.
20,AAMC,알티소스 에셋 매니지먼트,알티소스 에셋 매니지먼트Altisource Asset Management Corp알티소스 에셋 매니지먼트는 서비스가 부족한 시장에 유동성과 자본을 제공하는 대체 대출 회사이다.이 회사는 ALG(Alternative Lending Group)를 만들고 Crypto ATM과 관련된 기회를 추구하는 데 중점을 두고있다.이 회사의 주요 사무소는 미국령 버진 아일랜드에 있으며 자회사인 AAMC US Inc.와 Finsight Business Solutions Private Limited를 통해 미국과 인도에서도 사업을 운영하고 있다.이 회사의 다른 자회사로는 Altisource Consulting S.a r.l NewSource Reinsurance Company Ltd. AAMC CM WY LLC AAMC EBO Fund Holdings LLC AAMC GP LLC Grapetree Lending LLC 등이 있다.
21,AAME,아틀란틱 아메리칸,아틀란틱 아메리칸Atlantic American Corp아틀란틱 아메리칸은 생명과 건강 재산 및 상해 보험 산업 내의 전문 시장에서 자회사를 통해 영업하는 지주회사입니다.본 회사의 주요 운영 자회사는 미국 남부 보험 회사와 손해 보험 산업 내의 미국 남부 안전 보험 회사(총칭 미국 남부)와 은행 피델리티 생명 보험 회사(총칭 뱅크스 피델리티)입니다.American Southern과 Bankers Fidelity는 각각 제공되는 제품의 유형에 따라 별도로 관리됩니다.American Southern의 제품군에는 비즈니스 자동차 보험 정책 일반 책임 보험 정책 재산 보험 정책 및 Surey Bonds가 포함됩니다.Bankers Fidelity에서 제공하는 제품에는 일반 생명 보험 의료 보험 기타 사고 및 의료 보험 제품이 포함됩니다.
